main_id,ids,ra,dec,sp_type,plx_value,plx_err,V,G
CD-27  7978,GJ  1145,169.2812789286628,-27.8135307893965,K7,56.609,0.036,9.758000373840332,9.105199813842773
HD 152606,HD 152606,253.9083934717834,-32.0677020087793,K8Vk,56.6076,0.0514,9.571999549865723,8.939200401306152
HD  30876,"GJ  3317, HD  30876",72.4680497323941,-35.1076300176025,K2V,56.4713,0.024,7.494999885559082,7.242099761962891
HD 204587,"HD 204587, GJ   830",322.511483619527,-12.5100685268788,K7Vk:,56.4251,0.06,9.074999809265137,8.53600025177002
HD 113194,HD 113194,195.5862029909056,-26.78711802841,K5Vk:,56.3997,0.1368,8.35099983215332,7.861599922180176
HD 102438,"GJ   446, HD 102438",176.8158656209018,-30.2865103764475,G6V,56.3677,0.0342,6.480000019073486,6.287499904632568
* iot Pav,"GJ   705.1, GJ  9616, HD 165499",272.6089632387432,-62.0022386929854,G0V,56.328,0.1231,5.489999771118164,5.29010009765625
BD+17  2785,GJ   562,221.597009882395,16.4966991577585,K5V,56.3208,0.0432,9.229999542236328,8.710200309753418
HD 132683,"GJ   571.1, GJ  9507, HD 132683",225.1808880263343,-11.1351297143899,K8Vk,56.0214,0.0529,9.472000122070312,8.844099998474121
HD  35854,"GJ  1079, HD  35854",81.5614089571171,-32.504760253901,K2/3V,55.9232,0.0235,7.710999965667725,7.408699989318848
HD 189567,"GJ   776, HD 189567",301.38652181999294,-67.32089690622277,G2V,55.8197,0.0381,6.070000171661377,5.899199962615967
HD   3765,"HD   3765, GJ    28",10.2052912922363,40.1871721461014,K2V,55.7562,0.1002,7.360000133514404,7.0782999992370605
*  14 Her,"GJ   614, WDS J16104+4349AB, HD 145675",242.6013136477292,43.81763853737972,K0V,55.7363,0.0226,6.670000076293945,6.379300117492676
HD 217486,HD 217486,345.4079461476703,-44.988548292988,K3+V,55.7205,0.4377,8.960000038146973,8.57129955291748
HD   2025,"HD   2025, GJ    18",6.1080561057659,-27.0267729437561,K3V,55.7055,0.071,7.915999889373779,7.6168999671936035
*  70 Vir,"GJ  9446, GJ   512.1, WDS J13284+1347A, HD 117176",202.10753583333334,13.778788055555554,G4Va,55.6,0.24,4.96999979019165,4.708700180053711
*   6 Cet,"HD    693, GJ    10",2.8160454159002,-15.4679835277425,F8VFe-0.8CH-0.5,55.587,0.3324,4.889999866485596,4.6905999183654785
* ksi Gem,"GJ   242, HD  48737",101.32235133541666,12.895591979722221,F5IV-V,55.56,0.19,3.359999895095825,3.122999906539917
HD  84035,"GJ   365, HD  84035",145.8569188750738,42.6915598240029,K4V,55.4519,0.1298,8.15999984741211,7.735099792480469
HD 117936,"HD 117936, GJ  2102",203.384998395339,8.5867630048631,K3V,55.3898,0.1452,7.959000110626221,7.626800060272217
HD 206860,"GJ   836.7, HD 206860, WDS J21445+1446A, GJ  9751",326.13054155570626,14.771939536399723,G0V+,55.1631,0.0608,5.949999809265137,5.8109002113342285
V* V376 Gem,"GJ  9233, GJ   273.1",112.2573695904007,31.9938437345588,K2.5V,55.0668,0.0423,7.710000038146973,7.438899993896484
* chi Cnc,"HD  69897, GJ   303",125.0160862352765,27.2177073344785,F6V,54.864,0.1728,5.099999904632568,4.958099842071533
HD  31560,"GJ  2037, HD  31560",73.9246267376178,-28.5639122812935,K3.5Vk:,54.843,0.0342,8.121999740600586,7.760900020599365
HD 222335,"GJ  9833, HD 222335, GJ   902.1",354.9637757474491,-32.7434070730393,G9.5V,54.7891,0.0493,7.190999984741211,6.957799911499023
BD+13  3578,"GJ   708.2, GJ  9620",274.0093776655749,13.9133902220479,K7V,54.761,0.0504,10.178999900817871,9.473699569702148
BD-13  3333,"GJ  9355, GJ  1144",169.09227671107,-14.6933763281128,K7V,54.731,0.0847,9.979999542236328,9.328499794006348
HD 154088,"GJ   652, HD 154088",256.1160133603975,-28.582677721676667,K0IV-V,54.708,0.0468,6.584000110626221,6.363100051879883
* pi. Men,"GJ  9189, HD  39091",84.29118800108377,-80.46911981867916,G0V,54.7052,0.0671,5.670000076293945,5.490699768066406
* eta Crv,"GJ  9411, GJ   471.2, HD 109085",188.0176105425,-16.19600457583333,F2V,54.7,0.17,4.309999942779541,4.1915998458862305
V* LQ Hya,"GJ   355, HD  82558",143.1065350329684,-11.184635391871801,K1Vp,54.675,0.0671,7.890999794006348,7.496699810028076
HD 154345,"HD 154345, GJ   651",255.65168293662424,47.081878521931394,G9,54.6636,0.0212,6.739999771118164,6.567699909210205
HD  87883,HD  87883,152.17975380065874,34.24226352926167,K0V,54.6421,0.0369,7.550000190734863,7.271900177001953
* tau PsA,"HD 210302, GJ  9770, GJ   849.1",332.5365847481189,-32.5484098617725,F6V,54.4879,0.154,4.920000076293945,4.764100074768066
HD  53143,"GJ   260, HD  53143",104.9985644189788,-61.3361804749317,G9V,54.4655,0.0233,6.802999973297119,6.604899883270264
HD  97503,"GJ   418, HD  97503",168.3051440500852,4.4823445548839,K5V,54.4599,0.062,9.319999694824219,8.255599975585938
HD 158233,"HD 158233, GJ  4008",262.2773174956035,-23.8361121722806,K5V,54.3679,0.0593,9.597000122070312,9.059700012207031
HD 192961,"HD 192961, GJ   787",304.9039002417262,-46.4281151685674,K5.5V,54.1449,0.0596,8.708000183105469,8.273500442504883
HD  25329,"HD  25329, GJ   158",60.8124931520908,35.2732795152558,K1VbFe-2,53.9806,0.0521,8.5,8.220499992370605
HD  42807,"HD  42807, GJ   230",93.3020947823679,10.6271426145449,G4,53.6335,0.0716,6.440000057220459,6.261300086975098
HD  49601,"GJ   249, HD  49601",102.8849739794998,47.3678194316394,K6V,53.5873,0.0377,8.979999542236328,8.456999778747559
HD  20280,"HD  20280, GJ   131",48.6859349253919,-26.4462487063324,K5.5Vk:,53.5696,0.041,9.140999794006348,8.651300430297852
HD  25665,"HD  25665, GJ   161",62.3959994205427,69.5413913311491,K2.5V,53.284,0.0347,7.697000026702881,7.4166998863220215
HD  25457,"GJ   159, HD  25457",60.6531047681552,-0.2689218240574,F7/8V,53.273,0.1157,5.380000114440918,5.230400085449219
HD 170493,"GJ   715, HD 170493",277.4683644767182,-1.8181025236799,K4V,53.2422,0.07,8.003999710083008,7.6722002029418945
HD 130004,HD 130004,221.3507618038695,13.8463156306293,K0V,53.1567,0.0405,7.869999885559082,7.583600044250488
HD 266611,"HD 266611, GJ   254",104.2695522499919,30.7564919076566,K5V,52.9498,0.1017,9.744999885559082,9.095100402832031
*  15 LMi,"HD  84737, GJ   368",147.1473804188647,46.0210093814971,G0.5Va,52.8994,0.126,5.099999904632568,4.894400119781494
HD  52711,"GJ   262, HD  52711",105.8769119987895,29.3370824966074,G0V,52.7681,0.0929,5.929999828338623,5.773200035095215
BD+06  2986,GJ   576,226.2230258125757,5.6381001423014,K8V,52.5873,0.0668,9.8149995803833,9.235699653625488
HD  78366,"GJ   334.2, HD  78366",137.2127939282032,33.882218922011,G0IV-V,52.5197,0.0801,5.900000095367432,5.7947001457214355
HD 168442,"HD 168442, GJ   710",274.9618383432947,-1.938612589349,K7Vk,52.5185,0.0478,9.656000137329102,9.060799598693848
HD 160964,"GJ   689, HD 160964",264.0556543538556,71.8783564845964,K4V,52.455,0.0261,8.59000015258789,8.164199829101562
HD 170573,HD 170573,278.2711687260166,-54.2631900947533,K4.5Vk:,52.3688,0.0581,8.529999732971191,8.07919979095459
HD  52919,"GJ  1094, HD  52919",105.6788227021525,-6.7992262311065,K4V,52.3185,0.0488,8.35099983215332,7.984899997711182
BD-04  3873,GJ   583,230.5170838338389,-4.7774525511489,K4V,52.1506,0.0532,9.458999633789062,8.899100303649902
HD 220339,"GJ   894.5, HD 220339, GJ  9824",350.7703966654632,-10.7642439444714,K2V,52.1313,0.0573,7.796000003814697,7.531199932098389
HD  68834,"GJ  3488, HD  68834",123.6496431029737,13.0228261574527,K5V,52.1185,0.044,8.79699993133545,8.340399742126465
* 110 Her,"HD 173667, GJ  9635, GJ   725.2, WDS J18457+2033A",281.41552376708336,20.54631030527778,F5.5IV-V,52.06,0.25,4.190000057220459,4.029600143432617
BD+00  3077,"GJ  1173, GJ  9413",203.8532181781812,-0.389101831292,K7V,51.941,0.0731,10.270000457763672,9.578800201416016
HD 194640,"GJ   790, HD 194640",306.9343450390601,-30.8678462946428,G8V,51.7896,0.0486,6.619999885559082,6.42609977722168
HD 130307,"GJ  3867, HD 130307",221.8170881606219,2.7032263004449,K1V,51.5701,0.0785,7.755000114440918,7.504499912261963
CD-33  4354,GJ  1106,119.4521627783676,-33.952010997632,K4.5Vk:,51.4977,0.5547,8.824000358581543,8.385899543762207
HD  36435,"GJ   204.1, GJ  9180, HD  36435",81.9139681466151,-60.415995711059,G5V,51.3404,0.0303,6.982999801635742,6.788599967956543
