Name,Plx,Age,Age_lo1sig,Age_hi1sig,Age_lo2sig,Age_hi2sig
"HIP 38228 ",45.45,1.62,1.42,4.26,0.41,5.86
"HIP 39157 ",59.64,14.14,11.03,14.27,8.55,14.65
"HIP 34017 ",52.27,6.03,3.85,7.07,2.33,8.67
"HIP 33287 ",25.98,,13.88,14.82,12.96,14.93
"HIP 40118 ",45.9,14.6,12.78,14.59,11.44,14.83
"HIP 41484 ",44.94,6.66,5.27,7.61,4.02,8.64
"HIP 37789 ",28.9,10.9,10.14,11.16,9.75,11.77
"HIP 36439 ",49.41,2.85,2.69,3.38,2.17,3.68
"HIP 38325 ",33.78,2.1,1.75,2.57,1.36,2.84
"HIP 46853 ",74.19,2.72,2.73,3.04,2.34,3.09
"HIP 42575 ",25.05,3.74,2.17,6.34,0.79,8.22
"HIP 45333 ",51.1,5.41,4.39,6.17,3.82,6.76
"HIP 49130 ",27.81,,12.17,14.47,10.31,14.75
"HIP 42438 ",69.66,1.15,1.02,3.92,0.55,5.84
"HIP 40848 ",31.84,8.67,4.21,11.06,1.49,13.67
"HIP 78072 ",88.86,4.5,3.1,4.53,2.72,5.09
"HIP 68030 ",40.22,6.09,4.8,6.38,4.09,7.16
"HIP 72848 ",86.88,10.19,5.29,11.81,2.63,13.96
"HIP 72659 ",148.98,7.23,2.52,9.56,1.06,13.27
"HIP 67927 ",87.75,2.48,2.18,2.9,1.97,2.99
"HIP 72604 ",26.53,12.21,10.02,12.96,8.47,14.18
"HIP 71284 ",63.16,2.11,1.23,2.44,0.79,2.92
"HIP 81312 ",25.64,6.07,4.9,6.86,3.96,7.72
"HIP 81693 ",93.32,3.19,3.08,3.3,3.04,3.34
"HIP 79837 ",35.06,14.44,12.24,14.39,10.66,14.75
"HIP 84862 ",69.8,13.13,10.59,13.5,9.05,14.64
"HIP 85653 ",44.91,,11.12,14.26,8.76,14.66
"HIP 78775 ",68.87,,10.75,14.22,8.03,14.61
"HIP 86036 ",70.47,5.33,4.08,7.21,2.61,8.72
"HIP 64394 ",109.54,0.89,0.89,3.27,0.56,4.72
"HIP 71193 ",27.18,14.16,12.42,14.45,11.0,14.78
"HIP 61317 ",118.49,6.81,4.29,8.18,2.74,9.59
"HIP 62527 ",26.25,6.01,5.0,7.3,4.11,8.29
"HIP 73695 ",79.95,8.21,5.53,9.84,3.28,11.72
"HIP 73005 ",42.76,13.92,9.75,13.97,6.76,14.55
"HIP 82750 ",25.43,9.2,8.87,9.59,8.42,9.96
"HIP 85235 ",78.11,8.67,5.16,12.33,2.26,14.25
"HIP 68184 ",99.36,13.89,4.24,12.73,1.68,14.36
"HIP 73440 ",29.34,10.85,10.44,11.33,10.05,11.81
HIP 102805,32.66,3.0,2.89,4.1,2.65,4.57
HIP 107350,55.91,3.17,1.41,5.45,0.7,7.55
HIP 104659,29.1,12.69,10.76,13.67,9.27,14.59
HIP 100970,25.96,9.28,8.79,10.09,8.22,10.73
HIP 100963,35.42,4.52,2.66,5.97,1.05,7.39
"HIP 98819 ",56.28,2.24,1.78,3.92,1.06,5.16
"HIP 98792 ",63.43,,12.76,14.57,10.8,14.8
HIP 109176,85.28,2.25,2.19,2.99,1.76,3.72
HIP 107975,36.43,5.04,4.66,5.36,4.36,5.71
HIP 108490,34.78,7.72,6.45,9.04,5.15,10.27
HIP 118162,40.77,4.61,2.6,5.54,1.22,6.97
HIP 106122,34.36,5.19,3.25,7.83,1.26,10.02
HIP 114210,29.12,2.28,2.03,2.4,1.95,2.62
HIP 114622,152.76,10.93,5.39,13.07,2.12,14.39
"HIP 97420 ",38.11,5.39,3.93,6.61,2.65,7.71
"HIP 96185 ",31.33,11.14,10.76,11.84,10.28,12.43
"HIP 98921 ",53.22,3.64,2.52,6.51,1.06,8.45
"HIP 89474 ",43.82,7.74,7.03,8.53,6.36,9.21
"HIP 96895 ",47.44,7.84,7.0,8.6,6.1,9.36
"HIP 96901 ",47.14,8.91,7.61,9.6,6.67,10.26
HIP 111977,34.1,8.75,7.15,11.33,4.96,13.31
HIP 100017,56.92,3.91,2.35,5.86,0.9,7.68
"HIP 96100 ",173.77,6.43,2.14,9.64,0.67,13.18
"HIP 89937 ",124.11,6.93,5.85,7.94,4.8,9.02
HIP 105766,37.87,,12.62,14.52,11.16,14.79
"HIP 950   ",47.0,2.13,1.44,2.67,0.69,3.17
"HIP 1499  ",43.02,4.66,3.29,7.37,1.47,9.38
"HIP 8102  ",273.96,13.16,7.44,13.64,3.35,14.49
"HIP 7357  ",27.03,6.09,5.06,6.81,4.27,7.58
"HIP 6762  ",34.07,2.85,1.54,6.05,0.64,8.53
"HIP 3765  ",134.14,12.39,4.37,12.75,1.55,14.35
HIP 116106,38.29,3.24,2.08,4.82,1.03,6.17
HIP 113896,34.03,4.47,3.26,5.79,1.95,7.04
HIP 110785,26.21,3.28,2.94,3.66,2.68,3.87
HIP 112935,36.66,3.6,3.14,4.05,2.87,4.34
HIP 110035,32.22,8.62,6.99,9.48,5.76,10.7
HIP 116771,72.92,4.4,3.53,4.66,3.21,5.07
"HIP 493   ",26.93,5.39,3.21,6.06,1.78,7.21
"HIP 3093  ",90.42,1.96,2.05,9.22,0.82,12.84
HIP 116478,27.32,11.12,8.82,12.44,6.31,13.81
HIP 113357,64.07,5.05,4.99,6.94,4.34,8.01
"HIP 171   ",82.17,14.46,12.65,14.56,10.92,14.78
"HIP 544   ",73.15,3.51,1.59,6.23,0.46,8.8
HIP 116421,30.34,11.85,10.76,12.6,9.76,13.46
"HIP 394   ",25.52,5.0,3.93,7.22,3.01,9.34
"HIP 27072 ",112.02,3.03,2.27,3.3,1.28,3.79
"HIP 22263 ",75.32,2.3,1.49,4.48,0.43,6.12
"HIP 28103 ",67.21,1.26,0.98,1.5,0.68,1.83
"HIP 37349 ",70.37,7.23,3.36,11.74,1.07,14.11
"HIP 40765 ",28.2,2.28,1.5,5.5,0.63,7.46
"HIP 38625 ",49.78,,12.48,14.63,10.8,14.81
"HIP 32851 ",33.69,2.93,2.2,3.74,1.61,4.34
"HIP 33382 ",31.99,9.21,7.53,10.37,5.97,11.66
"HIP 30545 ",29.79,4.89,4.69,5.12,4.47,5.32
"HIP 29716 ",26.89,3.26,2.89,3.68,2.65,3.86
"HIP 31083 ",36.0,14.13,10.73,14.04,8.62,14.62
"HIP 37279 ",284.56,1.97,1.74,2.16,1.59,2.35
"HIP 39506 ",34.01,14.43,12.15,14.4,10.56,14.75
"HIP 22336 ",37.85,5.65,4.44,5.83,3.94,6.35
"HIP 19849 ",200.62,11.67,6.7,13.36,2.96,14.45
"HIP 23311 ",114.84,,7.2,13.71,3.16,14.5
"HIP 23941 ",39.28,4.05,3.07,4.12,2.7,4.43
"HIP 17147 ",39.12,13.02,10.81,13.96,8.98,14.65
"HIP 16852 ",71.62,5.88,5.55,6.17,5.24,6.51
"HIP 15457 ",109.41,5.11,3.36,7.33,1.63,9.2
"HIP 22449 ",123.94,1.8,1.06,2.05,0.45,2.65
"HIP 19911 ",32.64,8.67,4.04,10.43,1.45,12.59
"HIP 29432 ",42.55,2.58,1.71,4.96,0.82,6.53
"HIP 28066 ",37.59,11.11,9.41,11.65,8.2,12.68
"HIP 26807 ",27.63,6.43,4.43,9.28,2.08,11.45
"HIP 29001 ",28.31,4.61,3.02,5.93,1.49,7.32
"HIP 29650 ",48.04,1.15,0.85,1.76,0.13,2.36
"HIP 27913 ",115.43,2.47,1.05,4.39,0.5,6.14
"HIP 23835 ",64.79,10.15,9.33,10.36,8.77,10.75
"HIP 22349 ",33.58,12.15,11.22,13.08,10.17,13.95
"HIP 23884 ",27.48,4.99,3.55,6.71,1.96,8.02
"HIP 27207 ",45.76,,11.32,14.29,8.97,14.64
"HIP 56452 ",104.61,7.92,3.64,11.76,1.23,14.14
"HIP 64924 ",116.89,9.18,6.51,10.49,4.41,12.51
"HIP 64407 ",29.49,2.56,2.34,2.8,2.24,2.89
"HIP 58576 ",78.35,7.93,6.15,9.95,4.66,11.73
"HIP 59750 ",44.74,5.57,4.24,6.15,3.38,7.04
"HIP 56960 ",25.52,1.67,0.98,3.38,0.42,5.09
"HIP 59532 ",28.69,6.88,5.69,8.29,4.69,9.51
