HIP,Age,Age_lolim,Age_hilim
75370,13.14,4.74,0.36
74605,4.0,0.85,0.09
78217,7.92,2.88,1.71
86620,3.94,0.96,0.7
68184,8.71,4.95,3.39
71192,4.47,0.91,1.74
68085,9.75,0.68,0.54
61157,3.92,0.38,0.27
65449,11.32,2.21,1.7
61293,3.47,0.54,0.49
60331,,,
73440,11.11,0.77,0.31
74326,10.16,3.41,1.34
87055,8.67,3.33,1.23
80902,3.04,1.29,2.67
59879,4.65,1.08,0.3
103987,8.87,0.67,0.98
104101,3.07,0.44,0.35
104092,,,
104075,0.4,0.1,0.1
105202,2.48,1.02,0.79
106157,6.65,0.52,0.37
101966,1.37,0.18,1.26
102805,2.9,0.12,0.99
102610,10.38,1.47,0.88
102531,2.22,0.51,0.41
102611,5.92,0.74,0.65
107350,0.2,0.1,0.1
109450,8.06,0.36,1.11
108859,4.24,1.22,0.59
106678,10.14,0.74,0.97
104659,13.16,2.29,0.78
104514,6.75,0.99,0.72
106947,13.14,7.44,0.24
108767,4.35,0.52,1.45
106527,2.61,0.37,0.48
100269,,,
99607,6.1,0.6,0.21
100970,8.63,0.82,0.5
100963,5.66,2.7,0.96
98819,1.7,0.4,0.4
97918,4.9,0.7,0.87
98505,0.4,0.1,0.1
99386,6.91,0.25,0.8
98792,,,
106040,6.04,0.75,0.75
104421,5.59,0.36,0.73
102081,10.61,1.62,1.96
104217,2.4,0.5,0.5
104214,2.3,0.4,0.4
109931,6.71,1.66,2.2
113076,5.09,1.71,1.16
109176,2.61,0.35,0.2
109090,7.46,1.37,0.38
107975,1.3,0.8,0.8
108490,9.18,2.33,1.49
109677,5.07,0.29,0.31
108632,1.9,0.19,0.13
111352,2.65,0.41,0.45
111796,4.6,0.41,0.37
110788,7.68,0.95,1.38
110566,3.1,0.0,0.46
114838,5.1,0.65,0.6
114856,5.52,1.03,0.7
117582,9.25,1.38,0.2
114430,3.3,0.85,0.4
112595,11.23,2.08,1.44
115715,11.7,1.47,1.31
114729,5.7,0.26,0.45
116613,1.36,0.3,2.06
116616,7.95,0.57,0.44
108056,1.72,0.94,0.99
108514,1.89,0.22,1.04
109881,4.5,0.93,0.15
110291,12.97,2.15,1.0
104347,4.64,0.88,1.12
105857,8.1,0.69,0.67
106122,6.43,3.32,3.38
109372,4.6,0.86,0.36
111748,4.95,1.07,0.3
112697,3.72,0.27,0.18
112263,5.03,0.34,0.37
114210,2.25,0.23,0.11
116082,5.95,0.43,0.42
114924,3.44,0.85,0.62
115761,3.6,0.43,0.39
115714,8.31,0.82,0.64
117029,11.62,0.87,0.34
117472,2.04,0.22,0.24
118010,10.34,0.99,0.52
114622,9.45,5.46,2.91
115721,9.3,1.01,1.56
115704,13.14,8.02,0.2
96184,3.48,1.44,1.8
96902,8.23,1.04,1.45
97023,7.5,0.4,0.41
96081,2.1,0.49,0.28
97420,4.48,1.58,2.09
97769,5.26,0.27,2.58
98767,11.46,2.83,1.31
96507,4.65,0.96,0.18
97295,2.52,0.22,0.46
93017,2.3,0.5,0.5
94076,6.51,3.06,1.83
94075,5.31,0.29,3.44
96185,11.27,0.62,0.72
95446,8.64,0.95,0.99
97336,6.96,1.39,1.16
98921,1.88,0.17,2.21
99241,6.2,1.16,0.82
99026,1.77,0.3,0.34
91058,6.95,1.0,0.71
90745,10.73,1.01,0.8
92720,8.08,1.57,0.79
