Age,Name,SimbadName,RAJ2000,DEJ2000
5000,G204-55,G204-55,274.12949,45.55851
5000,GJ4053,GJ4053,274.7407,66.19169
5000,NLTT46734,NLTT46734,277.98401,77.51048
5000,G205-28,G205-28,277.99309,40.68702
5000,G141-21,G141-21,279.0805,13.60784
5000,G206-37,G206-37,279.99972,33.41553
5000,Gl725A,Gl725A,280.68937,59.63392
5000,Gl725B,Gl725B,280.69055,59.63028
5000,LHS3412,LHS3412,282.2153,17.43813
5000,Gl729,Gl729,282.45703,-23.8366
5000,G205-38,G205-38,282.6891,47.97186
5000,LHS3420,LHS3420,283.14111,45.64304
5000,Gl745A,Gl745A,286.77218,20.88737
5000,Gl745B,Gl745B,286.80401,20.87636
5000,LHS3472,LHS3472,293.73,53.25729
5000,LP869-42,LP869-42,294.90152,-26.75247
5000,NLTT48178,NLTT48178,296.2247,-23.6334
5000,NLTT48492,NLTT48492,299.4659,-10.88529
5000,NLTT48651,NLTT48651,301.12851,-23.70119
5000,NSV13092,NSV13092,306.92316,-27.7494
5000,GJ791.2,GJ791.2,307.45275,9.68921
5000,Gl793,Gl793,307.63559,65.45011
5000,NLTT49465,NLTT49465,308.62984,-32.51693
5000,LHS3576,LHS3576,311.09141,19.74852
22,AU Mic,AU Mic,311.29035,-31.3416
40,NLTT49856,NLTT49856,311.68239,-11.8038
5000,LHS6366,LHS6366,312.41523,-0.35127
5000,LP636-16,LP636-16,313.13108,-1.78594
5000,NLTT50171,NLTT50171,314.11371,-24.00366
5000,NSV13417,NSV13417,314.1941,-10.4507
5000,LHS3612,LHS3612,315.4939,-6.31961
5000,NLTT50710,NLTT50710,317.80684,-22.80548
100,HD201919,HD201919,318.27212,-17.48711
40,21163528-6005124,2MASS J21163528-6005124,319.147,-60.08678
40,21275054-6841033,2MASS J21275054-6841033,321.96074,-68.68442
5000,LTT8526,LTT8526,322.07583,-22.3094
5000,Gl829,Gl829,322.40544,17.64403
5000,Gl832,Gl832,323.39143,-49.0106
40,21370885-6036054,2MASS J21370885-6036054,324.28704,-60.6017
5000,LHS513,LHS513,324.75554,-24.15918
40,21504048-5113380,2MASS J21504048-5113380,327.66867,-51.22722
5000,LP518-58,LP518-58,327.95169,13.60406
5000,GJ4247,GJ4247,330.30552,28.30698
5000,G126-49,G126-49,330.45515,16.46776
5000,LHS3744,LHS3744,330.50483,-19.48299
40,22025453-6440441,2MASS J22025453-6440441,330.72744,-64.6791
5000,LTT8848,LTT8848,331.46322,-11.91451
5000,G214-14,G214-14,332.8201,41.01569
5000,LHS3776,LHS3776,333.42998,-17.6862
5000,GJ4274,GJ4274,335.77955,-17.60868
5000,LHS3804,LHS3804,336.27221,-47.8807
