Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
HD 26505,"26505  ",19494,85.3,9.18,10.33,9.0,9.58,1.33,9.52
HD 26345,"26345  ",19504,44.2,1.13,1.15,0.9,0.9,0.25,1.02
GJ 1067,"       ",19655,26.1,4.51,0.95,5.3,4.26,4.35,3.75
V* V1309 Tau,"26767  ",19786,42.9,4.34,1.78,1.73,2.23,2.61,2.52
HD 26784,"26784  ",19796,45.0,2.51,1.93,1.16,1.28,1.35,1.72
HD 284248,"284248 ",19797,87.7,,12.0,12.0,,0.0,12.0
BD-04 782,"       ",19832,20.8,5.16,3.18,5.12,4.68,1.98,4.53
omi02 Eri,"26965  ",19849,5.0,1.88,1.75,1.53,3.23,1.7,2.1
HD 26913,"26913  ",19855,21.1,6.42,11.25,3.05,4.31,8.2,6.26
HD 26923,"26923  ",19859,21.3,7.94,2.81,4.5,5.5,5.13,5.19
HD 285660,"285660 ",20041,88.3,1.61,5.43,1.62,4.2,3.82,3.21
HD 285690,"285690 ",20082,52.9,10.99,10.75,7.05,,3.94,9.59
HD 27530,"27530  ",20184,56.2,1.74,1.18,1.06,2.15,1.09,1.53
HD 27808,"27808  ",20557,44.3,2.51,2.6,1.16,2.06,1.44,2.08
HD 28185,"28185  ",20723,42.3,9.78,8.08,5.25,9.5,4.53,8.15
HD 28099,"28099  ",20741,46.0,2.9,3.3,1.87,4.47,2.6,3.13
HD 28005,"28005  ",20800,28.2,7.23,7.67,,9.33,2.11,8.08
V* DI Cam,"27172  ",20896,101.0,3.57,4.63,3.25,3.58,1.38,3.76
HD 28344,"28344  ",20899,46.5,8.12,2.27,2.32,3.67,5.86,4.1
HD 28343,"28343  ",20917,11.4,5.36,4.23,,,1.13,4.79
HD 283704,"283704 ",20949,60.8,4.16,2.09,2.08,3.51,2.07,2.96
HD 28571,"28571  ",20984,84.0,10.24,9.25,10.0,11.0,1.75,10.12
BD+04 701B,"       ",,,,,,,,
BD+04 701A,"       ",21000,10.7,,,,,,
HD 28635,"28635  ",21112,52.4,2.56,2.95,2.58,2.08,0.86,2.54
m Per,"28704  ",21242,59.2,,2.94,2.0,2.13,0.94,2.35
HD 28946,"28946  ",21272,27.1,8.13,1.77,7.5,4.93,6.36,5.58
HD 28992,"28992  ",21317,45.5,4.49,3.75,2.95,4.18,1.54,3.84
HD 283750,"283750 ",21482,18.0,,,,,,
HD 29310,"29310  ",21543,50.0,8.92,8.38,8.5,10.71,2.34,9.13
c Eri,"29391  ",21547,29.4,1.11,1.61,1.7,0.6,1.1,1.25
HD 232979,"232979 ",21553,10.1,,,,,,
HD 29419,"29419  ",21637,44.5,3.57,1.8,1.56,1.85,2.01,2.19
HD 284574,"284574 ",21741,62.7,5.18,7.13,4.28,6.4,2.84,5.75
HD 29697,"29697  ",21818,13.2,6.08,2.62,10.71,5.29,8.09,6.18
HD 29587,"29587  ",21832,27.6,,3.0,,,0.0,3.0
HD 29645,"29645  ",21847,31.9,,6.75,4.0,6.25,2.75,5.67
58 Eri,"30495  ",22263,13.3,5.02,2.28,2.5,3.8,2.74,3.4
59 Eri,"30606  ",22325,41.7,,3.46,2.25,2.44,1.21,2.72
HD 30562,"30562  ",22336,26.4,3.98,5.88,,6.33,2.35,5.4
pi.03 Ori,"30652  ",22449,8.1,1.02,0.86,0.9,1.17,0.31,0.98
HD 284930,"284930 ",22654,46.4,5.36,5.6,4.99,5.29,0.6,5.31
HD 31527,"31527  ",22905,38.6,8.12,6.54,6.5,7.0,1.62,7.04
101 Tau,"31845  ",23214,40.8,1.13,0.92,0.98,0.93,0.21,0.99
63 Eri,"32008  ",23221,54.0,1.26,1.83,1.2,0.78,1.06,1.27
HD 32147,"32147  ",23311,8.7,5.36,4.27,5.95,9.25,4.98,6.21
HD 31949,"31949  ",23399,66.4,4.02,3.39,2.36,3.31,1.67,3.27
HD 32850,"32850  ",23786,23.7,2.57,2.52,1.73,4.22,2.49,2.76
HR 1665,"33093  ",23831,36.7,,6.19,3.0,5.0,3.19,4.73
m Tau,"32923  ",23835,15.4,10.0,10.25,10.67,11.7,1.7,10.65
13 Ori,"33021  ",23852,27.7,9.51,10.5,10.5,11.0,1.49,10.38
68 Eri,"33256  ",23941,25.5,,7.5,2.5,4.0,5.0,4.67
HD 32715,"32715  ",24017,39.8,1.58,1.5,1.4,0.93,0.65,1.35
HR 1685,"33555  ",24130,46.8,2.0,3.5,2.5,5.8,3.8,3.45
HR 1687,"33608  ",24162,37.6,1.0,,0.8,,0.2,0.9
HD 33636,"33636  ",24205,28.4,7.94,2.81,4.5,6.54,5.13,5.45
HD 33866,"33866  ",24336,41.6,8.69,10.75,9.0,,2.06,9.48
HD 34721,"34721  ",24786,25.0,10.0,10.5,,9.75,0.75,10.08
lam Aur,"34411  ",24813,12.6,2.0,5.0,3.0,11.0,9.0,5.25
HD 33564,"33564  ",25110,20.9,1.8,2.13,1.33,,0.8,1.75
111 Tau B,"35171  ",25220,14.1,,0.83,7.5,0.96,6.67,3.1
111 Tau,"35296  ",25278,14.4,1.93,2.79,1.41,2.03,1.38,2.04
HD 36003,"36003  ",25623,13.0,5.36,11.5,,,6.14,8.43
HD 35961,"35961  ",25880,39.3,7.94,7.0,7.33,,0.94,7.43
18 Cam,"36066  ",25973,42.7,4.83,8.13,5.5,6.25,3.3,6.18
V* V2689 Ori,"245409 ",26335,11.2,,3.94,4.44,5.29,1.35,4.56
HD 37124,"37124  ",26381,33.7,11.49,9.75,,,1.74,10.62
HD 37008,"37008  ",26505,20.2,,0.64,11.0,,10.36,5.82
HD 37605,"37605  ",26664,44.0,4.48,3.44,2.42,8.63,6.21,4.75
HR 1925,"37394  ",26779,12.3,8.69,3.42,5.5,5.4,5.27,5.75
