Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
36 Oph B,"155885 ",,6.0,1.46,9.25,3.13,4.72,7.79,4.64
V* V2215 Oph,"156026 ",84478,6.0,,0.84,3.99,1.28,3.15,2.03
HD 156062,"156062 ",84497,58.5,6.03,5.31,2.33,3.25,3.69,4.23
HD 156985,"156985 ",84616,18.3,5.9,7.07,3.99,10.0,6.01,6.74
HD 156826,"156826 ",84801,49.7,2.51,4.88,2.75,2.5,2.38,3.16
HD 156968,"156968 ",84824,49.5,8.01,4.94,2.61,6.05,5.4,5.4
HD 156846,"156846 ",84856,47.6,3.16,4.67,5.0,4.38,1.84,4.3
HD 157089,"157089 ",84905,36.3,,,12.0,,0.0,12.0
V* V819 Her,"157482 ",84949,74.0,1.0,1.0,1.1,0.7,0.4,0.95
HR 6465,"157347 ",85042,19.5,2.2,5.63,2.66,6.57,4.37,4.26
HD 158633,"158633 ",85235,12.8,8.13,,6.5,7.18,1.63,7.27
HD 157881,"157881 ",85295,7.7,5.36,1.52,,,3.84,3.44
HD 159062,"159062 ",85653,22.3,10.99,7.5,,,3.49,9.24
HD 158614,"158614 ",85667,16.3,,12.5,,12.0,0.5,12.25
HD 159222,"159222 ",85810,23.9,1.05,5.33,2.33,5.92,4.86,3.66
HD 159482,"159482 ",86013,51.6,11.49,12.5,11.5,12.5,1.01,12.0
26 Dra,"160269 ",86036,14.2,8.52,4.75,2.36,4.05,6.16,4.92
HD 160964,"160964 ",86141,19.4,1.0,0.95,6.19,1.97,5.25,2.53
HD 160933,"160933 ",86184,45.7,5.1,5.83,5.0,4.6,1.23,5.13
HD 160346,"160346 ",86400,11.0,12.02,,7.5,,4.52,9.76
psi01 Dra A,"162003 ",86614,22.8,2.51,4.25,,,1.74,3.38
psi01 Dra B,"162004 ",86620,23.1,2.51,4.58,1.55,2.19,3.03,2.71
84 Her,"161239 ",86731,39.1,,3.67,,2.88,0.79,3.27
HD 161098,"161098 ",86765,30.2,11.24,0.75,8.25,10.25,10.49,7.62
mu. Her,"161797 ",86974,8.3,,8.5,6.5,8.75,2.25,7.92
HD 163183,"163183 ",87079,40.3,0.82,2.11,3.33,5.13,4.31,2.84
HD 162826,"162826 ",87382,33.6,1.02,3.88,1.7,3.5,2.86,2.52
GJ 697,"       ",87579,24.4,,1.02,1.73,1.39,0.72,1.38
HD 163492,"163492 ",87841,64.7,2.34,5.67,3.18,4.76,3.32,3.99
V* V566 Oph,"163611 ",87860,75.6,4.36,6.9,,4.83,2.54,5.36
HD 163840,"163840 ",87895,28.2,,,11.0,10.33,0.67,10.67
HD 164595,"164595 ",88194,28.4,1.05,6.5,2.85,5.46,5.45,3.96
HD 164507,"164507 ",88217,44.6,3.98,5.58,4.0,3.46,2.12,4.26
HD 164651,"164651 ",88324,33.0,2.21,7.25,2.03,7.15,5.22,4.66
HD 165173,"165173 ",88511,31.9,2.19,1.67,3.56,3.23,1.88,2.66
70 Oph A,165341A,88601,5.1,8.68,10.31,7.0,,3.31,8.66
HD 165401,"165401 ",88622,23.9,5.22,2.33,8.5,10.86,8.53,6.73
HD 165590,"165590 ",88637,39.4,10.24,10.75,10.5,11.5,1.26,10.75
HD 165476,"165476 ",88644,47.2,5.55,8.25,7.0,9.5,3.95,7.58
HR 6756,"165438 ",88684,36.8,5.78,4.75,7.0,5.25,2.25,5.69
HD 165672,"165672 ",88724,46.1,1.94,2.14,1.65,3.39,1.74,2.28
HD 165670,"165670 ",88728,40.4,1.79,3.56,1.7,2.5,1.86,2.39
b Her,"165908 ",88745,15.6,5.01,8.25,,10.83,5.82,8.03
HD 166435,"166435 ",88945,24.8,4.42,2.7,2.39,3.65,2.03,3.29
HD 166183,"166183 ",88958,87.8,,7.0,1.8,3.31,5.2,4.04
HR 6806,"166620 ",88972,11.0,5.36,3.88,2.88,5.29,2.48,4.35
HD 166601,"166601 ",89014,87.0,5.01,6.1,,3.64,2.46,4.92
36 Dra,"168151 ",89348,22.9,3.98,5.0,,3.44,1.56,4.14
HD 167278,"167278 ",89393,114.4,2.17,3.28,2.37,2.31,1.11,2.53
HD 167588,"167588 ",89408,42.3,7.94,8.88,7.0,6.8,2.08,7.65
HR 6847,"168009 ",89474,22.8,2.51,8.0,3.0,7.67,5.49,5.29
V* V2502 Oph,"167858 ",89601,63.3,2.84,3.5,,2.21,1.29,2.85
HD 167665,"167665 ",89620,30.5,6.65,,,4.75,1.9,5.7
HD 168443,"168443 ",89844,37.4,10.72,10.5,11.0,11.0,0.5,10.8
chi Dra,"170153 ",89937,8.1,12.02,4.63,10.0,10.5,7.4,9.29
eta Ser,"168723 ",89962,18.5,1.26,4.94,1.2,3.38,3.74,2.69
HD 168746,"168746 ",90004,42.7,5.01,12.0,7.5,12.0,6.99,9.13
HD 169822,"169822 ",90355,28.9,8.13,11.5,3.42,5.29,8.08,7.09
HD 170008,"170008 ",90427,80.3,5.01,,11.5,,6.49,8.26
HR 6907,"169830 ",90485,36.6,,,,3.25,0.0,3.25
HD 170291,"170291 ",90532,62.9,1.31,6.85,3.25,3.75,5.54,3.79
HD 170778,"170778 ",90586,36.3,2.74,2.1,2.21,3.63,1.52,2.67
HD 170512,"170512 ",90621,61.5,1.02,1.54,1.15,2.19,1.17,1.48
HD 170579,"170579 ",90657,72.9,2.2,6.06,3.2,2.75,3.86,3.55
HD 170829,"170829 ",90729,34.6,10.22,10.5,8.0,9.36,2.5,9.52
HD 170657,"170657 ",90790,13.3,8.6,,9.0,6.24,2.76,7.95
HD 171314,"171314 ",90959,23.0,5.36,8.53,12.0,,6.64,8.63
HD 171706,"171706 ",91215,64.1,8.93,10.75,6.25,9.36,4.5,8.82
HD 171888,"171888 ",91281,53.5,4.21,7.35,4.0,3.97,3.38,4.88
HD 171951,"171951 ",91291,75.1,6.39,9.65,6.5,6.9,3.26,7.36
HD 171953,"171953 ",91300,124.5,2.2,3.21,2.46,2.33,1.02,2.55
HD 172051,"172051 ",91438,13.1,9.84,12.0,7.2,8.5,4.8,9.39
HD 172675,"172675 ",91645,39.0,,1.27,2.75,3.8,2.53,2.61
HD 172718,"172718 ",91649,92.5,4.05,6.0,5.0,5.17,1.95,5.05
HD 172961,"172961 ",91766,61.4,1.53,1.67,1.98,2.18,0.65,1.84
HD 173605,"173605 ",91773,65.7,11.49,11.17,9.67,10.64,1.82,10.74
HD 173174,"173174 ",91889,85.5,4.83,5.55,4.4,5.39,1.15,5.04
110 Her,"173667 ",92043,19.2,,4.33,,2.83,1.5,3.58
HD 173634,"173634 ",92078,110.5,1.89,2.61,1.9,1.61,1.0,2.0
HD 173818,"173818 ",92200,14.3,,10.25,3.74,5.29,6.51,6.43
HR 7079,"174160 ",92270,28.8,2.86,3.75,1.6,1.46,2.29,2.42
HD 174080,"174080 ",92283,16.9,5.36,7.09,4.54,5.29,2.56,5.57
HD 175225,"175225 ",92549,25.7,5.1,6.45,5.5,5.08,1.37,5.53
HD 174719,"174719 ",92569,28.4,11.24,0.83,7.0,10.5,10.4,7.39
HD 175290,"175290 ",92666,91.2,4.61,5.0,5.5,4.75,0.89,4.97
HD 175272,"175272 ",92794,88.5,2.84,4.56,1.2,2.38,3.36,2.74
V* V1709 Aql,"175337 ",92837,83.2,1.26,3.75,0.9,0.96,2.85,1.72
HD 175726,"175726 ",92984,26.5,5.66,7.25,2.75,3.54,4.5,4.8
HD 175805,"175805 ",93016,126.6,1.75,2.28,2.11,1.92,0.53,2.02
HD 176051,"176051 ",93017,14.9,10.72,4.38,1.42,7.5,9.3,6.0
HD 175806,"175806 ",93028,128.4,1.89,2.66,2.0,1.75,0.91,2.08
HD 176377,"176377 ",93185,23.8,,3.39,6.0,8.0,4.61,5.8
HD 176118,"176118 ",93190,86.1,2.03,4.94,1.0,2.35,3.94,2.58
11 Aql,"176303 ",93203,48.4,,2.25,1.8,1.5,0.75,1.85
HD 176367,"176367 ",93375,58.8,2.57,5.84,1.53,2.22,4.32,3.04
HD 177830,"177830 ",93746,59.0,4.74,6.44,6.0,9.5,4.76,6.67
HD 177749,"177749 ",93772,65.9,3.44,3.63,3.0,2.68,0.95,3.18
HD 177904,"177904 ",93822,105.6,1.71,2.58,1.45,1.6,1.13,1.83
HD 178126,"178126 ",93871,24.8,5.36,1.45,8.5,5.29,7.05,5.15
HD 178428,"178428 ",93966,21.4,12.02,10.0,,,2.02,11.01
HD 178911B,178911B,94075,42.6,5.16,4.61,3.06,5.52,2.46,4.59
HD 178911,"178911 ",94076,52.3,4.49,5.28,4.63,4.54,0.79,4.73
HD 179957,"179957 ",,,2.76,5.95,4.15,6.8,4.04,4.91
HD 179958,"179958 ",,24.9,2.25,6.75,3.0,7.17,4.91,4.79
HD 180161,"180161 ",94346,20.0,3.23,2.58,2.84,4.63,2.06,3.32
HR 7291,"179949 ",94645,27.5,3.16,1.36,1.55,1.67,1.8,1.94
HD 181096,"181096 ",94755,42.0,3.56,5.05,4.0,3.63,1.49,4.06
HD 180945,"180945 ",94873,65.1,,6.5,2.5,3.13,4.0,4.04
BD+41 3306,"       ",94931,35.7,,7.88,,,0.0,7.88
HD 181655,"181655 ",94981,25.4,8.64,11.0,,11.5,2.86,10.38
HD 181420,"181420 ",95055,47.5,0.63,4.75,1.2,1.0,4.12,1.9
HD 181806,"181806 ",95202,97.7,3.09,4.5,3.0,2.56,1.94,3.29
HD 182274,"182274 ",95293,57.6,2.6,2.58,4.0,4.75,2.17,3.48
HD 182488,"182488 ",95319,15.8,6.42,7.72,5.31,10.58,5.27,7.51
HD 182736,"182736 ",95362,57.6,,6.08,,3.38,2.71,4.73
b Aql,"182572 ",95447,15.2,,10.0,7.0,12.0,5.0,9.67
HD 182905,"182905 ",95622,68.5,9.87,10.14,8.6,9.08,1.54,9.42
HD 183263,"183263 ",95740,55.1,2.51,2.96,3.06,5.32,2.81,3.46
HD 183341,"183341 ",95772,45.4,2.0,7.58,5.0,7.33,5.59,5.48
HD 183658,"183658 ",95962,31.3,5.25,1.73,2.9,4.46,3.52,3.58
HD 231701,"231701 ",96078,118.5,2.56,4.44,2.44,3.46,1.99,3.22
HD 184151,"184151 ",96081,87.1,2.05,2.8,2.27,2.13,0.75,2.31
HD 183870,"183870 ",96085,17.6,,1.02,1.26,1.17,0.24,1.15
sig Dra,"185144 ",96100,5.8,5.63,12.0,4.58,6.11,7.42,7.08
HD 184152,"184152 ",96142,78.3,9.28,8.08,7.82,9.0,1.46,8.54
HD 184499,"184499 ",96185,31.9,,,12.0,,0.0,12.0
HD 184960,"184960 ",96258,25.1,2.82,7.33,1.28,,6.05,3.81
HD 184489,"184489 ",96285,14.4,,,,5.29,0.0,5.29
HR 7438,"184663 ",96351,40.0,0.81,1.97,1.13,1.15,1.16,1.27
HD 184509,"184509 ",96370,32.0,3.98,3.75,3.0,3.88,0.98,3.65
HD 184700,"184700 ",96379,76.9,10.0,9.25,10.0,11.0,1.75,10.06
HD 185414,"185414 ",96395,24.1,2.65,3.38,2.9,4.11,1.46,3.26
HD 184768,"184768 ",96402,38.6,5.01,11.5,10.0,11.0,6.49,9.38
HD 185269,"185269 ",96507,50.3,3.16,4.42,3.0,4.13,1.42,3.68
16 Cyg A,"186408 ",96895,21.1,5.55,7.75,4.0,8.75,4.75,6.51
16 Cyg B,"186427 ",96901,21.2,3.16,7.5,5.0,8.75,5.59,6.1
HD 186104,"186104 ",96948,41.2,2.84,7.2,5.0,8.75,5.91,5.95
HD 186226,"186226 ",96979,66.4,3.44,3.75,2.75,2.52,1.23,3.11
HD 332612,"332612 ",97012,98.2,4.46,8.77,4.25,4.64,4.52,5.53
HD 186379,"186379 ",97023,44.4,9.44,9.38,8.5,8.3,1.14,8.9
HR 7522,"186760 ",97033,44.2,4.5,4.67,5.0,4.38,0.63,4.63
HD 186413,"186413 ",97105,62.9,9.59,10.17,6.0,8.25,4.17,8.5
HD 332518,"332518 ",97223,20.3,,,3.73,,0.0,3.73
HD 187123,"187123 ",97336,48.3,3.16,7.25,7.0,8.17,5.0,6.39
alf Aql,"187642 ",97649,5.1,3.98,3.17,2.5,3.25,1.48,3.22
omi Aql,"187691 ",97675,19.2,1.58,6.0,2.0,4.13,4.42,3.43
HD 188169,"188169 ",97720,72.7,4.73,1.88,1.95,2.13,2.86,2.67
HD 187923,"187923 ",97767,26.6,8.52,9.0,,11.38,2.86,9.63
HD 188015,"188015 ",97769,57.0,11.48,6.63,4.0,9.0,7.48,7.78
HD 187897,"187897 ",97779,35.1,0.92,4.85,3.47,5.82,4.9,3.76
HD 188326,"188326 ",97846,55.9,9.74,10.5,9.5,9.83,1.0,9.89
HD 188088,"188088 ",97944,14.0,,,,,,
bet Aql,"188512 ",98036,13.7,2.51,5.88,3.5,3.83,3.36,3.93
ome Sgr,"188376 ",98066,26.0,2.51,2.72,2.5,1.81,0.91,2.39
HR 7637,"189340 ",98416,22.2,2.0,12.0,5.0,9.25,10.0,7.06
HD 189509,"189509 ",98442,46.4,0.92,2.17,1.25,1.63,1.25,1.49
HD 189733,"189733 ",98505,19.5,2.09,1.7,1.73,4.43,2.73,2.49
HD 189558,"189558 ",98532,65.0,11.24,10.25,10.5,10.92,0.99,10.73
HD 189712,"189712 ",98565,87.0,4.48,4.63,5.0,3.63,1.38,4.43
HD 190007,"190007 ",98698,12.9,10.99,7.51,12.0,,4.49,10.17
HD 190228,"190228 ",98714,61.6,5.1,5.93,5.33,4.92,1.01,5.32
HD 190360,"190360 ",98767,15.9,,9.5,8.5,11.25,2.75,9.75
HD 190404,"190404 ",98792,15.8,5.98,,8.0,5.5,2.5,6.49
15 Sge,"190406 ",98819,17.8,5.03,3.36,4.17,3.1,1.93,3.92
HD 190412,"190412 ",98878,38.3,,,,,,
CCDM J20051-0418AB,"190437 ",98916,77.5,4.47,7.88,5.0,4.0,3.88,5.34
HD 190771,"190771 ",98921,18.8,2.58,2.54,1.93,2.98,1.05,2.51
HD 190498,"190498 ",98922,63.1,,4.38,3.0,2.75,1.63,3.38
b01 Cyg,"191026 ",99031,23.9,3.98,4.88,7.0,5.19,3.02,5.26
64 Aql,"191067 ",99171,46.9,2.0,11.75,8.0,9.75,9.75,7.87
HD 191533,"191533 ",99367,62.7,3.16,3.86,2.25,2.7,1.61,2.99
HD 345957,"345957 ",99423,96.0,11.75,,11.0,12.0,1.0,11.58
HD 191785,"191785 ",99452,20.4,5.13,8.5,3.59,12.25,8.66,7.37
HD 192145,"192145 ",99607,74.6,5.81,8.56,6.5,6.5,2.75,6.84
HD 192263,"192263 ",99711,19.3,2.57,1.84,2.27,5.29,3.45,2.99
HD 192310,"192310 ",99825,8.9,10.48,10.75,4.58,,6.17,8.6
HD 193664,"193664 ",100017,17.6,3.47,2.88,1.7,4.69,2.99,3.18
HD 193374,"193374 ",100265,123.9,2.23,2.97,2.63,2.21,0.76,2.51
HD 193555,"193555 ",100269,82.0,1.89,2.25,2.08,2.0,0.36,2.06
HR 7793,"194012 ",100511,26.3,1.16,3.19,1.06,1.95,2.13,1.84
HD 194154,"194154 ",100581,59.3,1.89,1.67,1.61,1.7,0.28,1.72
HD 334372,"334372 ",100788,101.2,10.82,10.05,9.5,10.1,1.32,10.12
HD 194598,"194598 ",100792,58.8,10.73,6.75,8.0,8.5,3.98,8.49
HD 195019,"195019 ",100970,38.5,9.17,9.5,7.75,10.71,2.96,9.28
HD 195005,"195005 ",101022,31.7,2.18,1.55,1.46,2.56,1.1,1.94
rho Cap,"194943 ",101027,30.3,2.51,3.0,2.0,2.0,1.0,2.38
HD 195104,"195104 ",101059,36.7,5.01,1.38,3.5,4.21,3.64,3.53
HD 195564,"195564 ",101345,24.4,9.84,9.5,8.5,8.42,1.43,9.07
HD 195633,"195633 ",101346,99.3,9.98,9.45,7.5,7.69,2.48,8.66
HR 7855,"195838 ",101507,32.8,2.37,11.0,2.0,4.63,9.0,5.0
HD 196218,"196218 ",101620,53.2,6.49,9.33,4.0,5.67,5.33,6.37
kap Del,"196755 ",101916,30.1,,4.1,3.0,2.33,1.77,3.14
HR 7907,196885A,101966,33.5,1.13,2.67,1.22,2.0,1.54,1.75
HD 196761,"196761 ",101997,14.4,10.99,,6.5,9.0,4.49,8.83
HD 197076,"197076 ",102040,20.9,4.46,3.47,2.23,4.9,2.67,3.77
eta Cep,"198149 ",102422,14.3,2.0,8.08,2.0,3.25,6.09,3.83
HR 7955,"198084 ",102431,27.3,2.25,2.6,1.97,2.25,0.63,2.27
psi Cap,"197692 ",102485,14.7,1.58,1.5,1.4,0.65,0.93,1.28
gam01 Del,"197963 ",102531,38.0,2.17,2.63,2.3,2.06,0.56,2.29
HD 198061,"198061 ",102612,73.7,3.98,5.58,3.17,3.18,2.42,3.98
HD 198387,"198387 ",102642,42.5,7.92,3.75,9.0,6.25,5.25,6.73
HD 198483,"198483 ",102815,51.2,1.61,2.47,1.68,3.9,2.29,2.41
BD+52 2815,"       ",102870,22.4,5.36,2.07,11.5,,9.43,6.31
4 Aqr,"198571 ",102945,60.7,2.09,2.42,1.8,1.81,0.62,2.03
HD 198802,"198802 ",103077,44.2,,6.63,5.0,4.88,1.75,5.5
BD+12 4499,"       ",103256,22.4,,0.75,2.93,,2.18,1.84
HD 199598,"199598 ",103455,31.6,0.81,5.5,1.24,4.86,4.69,3.1
HD 199604,"199604 ",103572,67.5,,5.55,,,0.0,5.55
11 Aqr,"199960 ",103682,27.2,2.51,4.5,,4.63,2.11,3.88
HD 200391,"200391 ",103833,52.0,10.28,10.33,9.5,9.88,0.83,10.0
HD 200560,"200560 ",103859,19.5,,12.0,8.0,,4.0,10.0
CCDM J21031+0132AB,"200375 ",103892,70.8,1.77,2.71,2.14,1.83,0.95,2.11
HD 200580,"200580 ",103987,51.9,10.99,9.75,10.0,10.55,1.24,10.32
HD 200779,"200779 ",104092,15.1,6.37,9.43,,,3.06,7.9
4 Equ,"200790 ",104101,48.9,2.61,3.97,2.75,2.68,1.36,3.0
61 Cyg A,"201091 ",104214,3.5,6.34,9.75,2.59,6.07,7.16,6.19
61 Cyg B,"201092 ",104217,3.5,1.88,3.4,4.64,,2.76,3.31
HD 201099,"201099 ",104294,47.3,11.48,9.0,,11.5,2.5,10.66
HD 201456,"201456 ",104344,66.8,2.34,12.25,1.6,4.5,10.65,5.17
HD 201496,"201496 ",104549,52.5,5.48,5.92,2.25,3.6,3.67,4.31
HD 201891,"201891 ",104659,34.4,,8.5,10.0,9.5,1.5,9.33
HD 202582,"202582 ",104788,42.8,5.66,7.75,5.5,5.5,2.25,6.1
HD 202206,"202206 ",104903,45.3,2.1,2.68,2.11,5.7,3.6,3.15
HD 202282,"202282 ",104922,80.6,2.32,7.25,4.18,7.1,4.93,5.21
HD 202575,"202575 ",105038,16.4,,1.11,3.28,2.22,2.18,2.2
alf Cep,"203280 ",105199,15.0,,2.5,,2.0,0.5,2.25
V* V457 Vul,203030A,105232,40.9,5.64,7.0,2.79,5.37,4.21,5.2
HD 202940,"202940 ",105312,18.0,11.75,10.0,8.5,,3.25,10.08
HD 203235,"203235 ",105399,71.0,3.05,4.95,2.6,4.35,2.35,3.74
HR 8170,"203454 ",105406,27.0,,6.5,3.0,12.0,9.0,7.17
HD 204426,"204426 ",105557,39.6,11.75,11.0,10.5,11.58,1.25,11.21
HD 204153,"204153 ",105769,33.5,1.0,3.38,0.9,1.3,2.48,1.64
HD 204734,"204734 ",105992,38.7,,0.8,10.5,0.7,9.8,4.0
HD 204485,"204485 ",106003,44.7,,0.73,,0.85,0.13,0.79
HD 205027,"205027 ",106356,54.9,7.94,8.0,12.0,,4.06,9.31
HD 205434,"205434 ",106400,23.2,,,4.26,,0.0,4.26
HD 205700,"205700 ",106674,107.6,3.27,5.0,2.23,2.96,2.78,3.36
HD 205702,"205702 ",106707,57.0,2.0,6.33,3.5,8.5,6.5,5.08
BD+27 4120,"       ",106811,13.3,,3.23,,5.29,2.06,4.26
HD 206374,"206374 ",107070,26.9,1.4,1.45,3.19,1.85,1.8,1.97
HD 206282,"206282 ",107072,93.8,3.04,6.2,,3.06,3.16,4.1
42 Cap,"206301 ",107095,33.2,2.51,3.81,3.0,2.33,1.48,2.91
mu.02 Cyg,"206827 ",,,8.15,5.3,5.0,10.0,5.0,7.11
mu.01 Cyg,"206826 ",107310,22.2,3.16,4.5,2.5,3.67,2.0,3.46
V* HN Peg,"206860 ",107350,17.9,7.94,2.1,4.5,5.75,5.85,5.07
del Cap,"207098 ",107556,11.9,2.51,4.25,,2.0,2.25,2.92
HD 207858,"207858 ",107890,126.7,3.67,5.63,4.0,3.13,2.51,4.11
15 Peg,"207978 ",107975,27.4,5.01,8.5,4.0,4.5,4.5,5.5
HD 208038,"208038 ",108028,23.0,,0.95,1.07,0.75,0.32,0.92
HD 208313,"208313 ",108156,20.0,1.89,1.45,1.73,3.81,2.36,2.22
HD 208801,"208801 ",108506,36.9,6.39,5.31,4.0,6.17,2.39,5.47
V* V376 Peg,"209458 ",108859,49.6,1.8,5.3,1.31,3.47,3.99,2.97
HD 209472,"209472 ",108901,94.6,4.05,4.94,1.7,3.86,3.24,3.64
iot Peg,"210027 ",109176,11.7,2.0,5.38,1.9,3.75,3.48,3.26
CCDM J22071+0034AB,"209965 ",109186,78.7,5.4,6.91,4.8,5.1,2.11,5.55
V* AR Lac,"210334 ",109303,42.8,4.09,8.0,5.0,3.63,4.38,5.18
HD 210640,"210640 ",109324,84.6,,7.0,5.0,4.5,2.5,5.5
HD 210277,"210277 ",109378,21.6,,9.25,7.0,11.33,4.33,9.19
HD 210460,"210460 ",109439,59.2,2.0,2.75,,1.5,1.25,2.08
HD 210483,"210483 ",109450,51.1,12.02,12.5,10.0,11.25,2.5,11.44
BD+17 4708,"       ",109558,121.8,,12.25,12.0,12.0,0.25,12.08
Wolf 1008,"210631 ",109563,78.6,10.6,10.5,11.0,11.57,1.07,10.92
HD 210855,"210855 ",109572,37.4,2.38,2.75,2.4,2.38,0.38,2.48
HD 210752,"210752 ",109646,36.2,6.31,2.82,7.0,7.91,5.09,6.01
HD 211476,"211476 ",110035,31.0,6.31,6.25,7.5,7.75,1.5,6.95
HD 211575,"211575 ",110091,42.0,,1.75,1.1,0.9,0.85,1.25
HD 239928,"239928 ",110327,63.9,5.13,3.33,2.7,3.36,2.43,3.63
34 Peg,"212754 ",110785,38.2,3.22,3.85,4.0,2.96,1.04,3.51
HD 213338,"213338 ",111029,42.7,2.57,3.8,3.8,3.27,1.23,3.36
HD 214385,"214385 ",111746,36.4,4.31,1.45,9.0,10.75,9.3,6.38
HD 214683,"214683 ",111888,24.1,,0.88,,,0.0,0.88
HD 214749,"214749 ",111960,13.6,5.29,4.41,8.5,6.46,4.09,6.16
HD 214850,"214850 ",111974,33.8,4.5,6.94,4.0,3.54,3.4,4.74
HD 215243,"215243 ",112222,42.4,3.01,6.85,1.68,5.0,5.18,4.13
ksi Peg,"215648 ",112447,16.3,5.1,5.31,3.0,3.63,2.31,4.26
HD 215625,"215625 ",112462,56.7,1.05,1.0,1.07,1.17,0.17,1.07
HD 216520,"216520 ",112527,19.7,5.36,4.33,3.43,6.24,2.81,4.84
BD+67 1468A,216172A,112670,63.7,0.79,0.9,0.83,0.9,0.11,0.86
BD+67 1468B,216172B,,,0.79,0.88,0.83,1.05,0.26,0.89
HD 216133,"216133 ",112774,14.1,,,,,,
HD 216259,"216259 ",112870,21.3,7.51,1.58,3.66,,5.93,4.25
49 Peg,"216385 ",112935,27.3,2.51,6.25,5.0,3.5,3.74,4.32
BD-15 6290,"       ",113020,4.7,,,,,,
HD 216770,"216770 ",113238,35.6,4.78,5.76,2.65,7.13,4.47,5.08
51 Peg,"217014 ",113357,15.6,2.51,5.1,2.27,7.4,5.13,4.32
alf PsA,"216956 ",113368,7.7,,0.55,,0.6,0.05,0.58
HD 217107,"217107 ",113421,19.9,7.13,8.17,5.0,,3.17,6.76
HD 217357,"217357 ",113576,8.2,,,,,,
HD 217577,"217577 ",113688,82.9,12.02,9.0,10.33,11.31,3.02,10.67
HD 217813,"217813 ",113829,24.7,4.5,3.38,5.33,3.93,1.96,4.28
HD 217877,"217877 ",113896,29.4,3.98,5.44,3.53,5.79,2.26,4.69
HD 217958,"217958 ",113948,56.8,,8.17,8.0,8.67,0.67,8.28
HD 218059,"218059 ",113980,44.7,1.42,1.88,1.3,2.45,1.15,1.76
HD 218209,"218209 ",113989,29.5,4.2,4.15,10.5,,6.35,6.28
HD 218101,"218101 ",113994,36.2,5.66,5.9,5.5,5.6,0.4,5.67
HD 218566,"218566 ",114322,28.6,,7.41,9.18,,1.77,8.3
HD 218687,"218687 ",114378,24.8,8.12,5.63,5.0,3.28,4.84,5.51
6 And,"218804 ",114430,27.6,4.97,6.05,3.0,3.42,3.05,4.36
HD 218868,"218868 ",114456,24.3,5.01,8.29,5.58,10.0,4.99,7.22
HD 219396,"219396 ",114546,52.6,12.02,9.75,7.33,10.63,4.69,9.93
HR 8832,"219134 ",114622,6.5,5.36,2.74,6.06,4.34,3.31,4.62
HD 219428,"219428 ",114796,61.5,1.21,1.47,1.29,3.18,1.97,1.79
HD 219420,"219420 ",114834,40.7,2.19,10.5,1.7,4.28,8.8,4.67
HD 219538,"219538 ",114886,24.0,1.85,1.55,1.53,3.62,2.09,2.13
HD 219623,"219623 ",114924,20.5,3.16,3.9,2.7,1.93,1.98,2.92
94 Aqr B,219834B,115125,,,,11.5,,0.0,11.5
94 Aqr,219834A,115126,21.1,6.42,7.54,6.75,6.42,1.13,6.78
HD 220140,"220140 ",115147,19.2,5.36,2.8,3.43,4.53,2.56,4.03
HD 220008,"220008 ",115223,84.5,6.42,8.04,6.0,6.05,2.04,6.63
HD 220182,"220182 ",115331,21.5,2.19,1.76,2.4,3.04,1.29,2.35
HD 220221,"220221 ",115341,20.5,5.36,5.03,3.4,6.27,2.87,5.01
V* NX Aqr,"220476 ",115527,30.1,11.49,0.88,7.0,8.05,10.61,6.86
HD 220689,"220689 ",115662,44.6,8.12,5.22,5.0,6.91,3.12,6.31
HR 8924,"221148 ",115953,47.3,,8.25,6.0,9.25,3.25,7.83
HD 221354,"221354 ",116085,16.9,2.57,10.25,3.13,9.5,7.68,6.36
HD 221356,"221356 ",116106,26.1,9.59,1.35,5.0,5.04,8.23,5.24
HD 221445,"221445 ",116164,76.7,2.24,3.48,2.66,2.56,1.25,2.74
HD 221503,"221503 ",116215,15.2,4.3,1.59,10.71,5.29,9.13,5.47
HD 221585,"221585 ",116221,57.5,7.94,7.43,6.5,7.25,1.44,7.28
HD 221851,"221851 ",116416,23.8,,0.65,11.0,,10.35,5.83
HR 8964,"222143 ",116613,23.3,4.5,2.67,3.17,2.59,1.9,3.23
HD 222155,"222155 ",116616,49.1,11.12,9.0,8.0,8.88,3.12,9.25
gam Cep,"222404 ",116727,14.1,,3.81,,4.25,0.44,4.03
iot Psc,"222368 ",116771,13.7,4.74,6.79,,4.58,2.21,5.37
HD 222582,"222582 ",116906,41.8,1.46,5.82,2.78,6.64,5.18,4.18
HD 222645,"222645 ",116964,70.6,1.62,3.0,1.45,1.85,1.55,1.98
HD 223084,"223084 ",117258,38.6,1.74,5.5,2.96,5.17,3.76,3.84
HD 223110,"223110 ",117259,103.1,2.14,4.46,3.17,2.75,2.32,3.13
HD 223238,"223238 ",117367,47.9,2.25,6.17,4.5,6.75,4.5,4.92
HD 224465,"224465 ",118162,24.5,0.92,4.84,1.59,5.27,4.35,3.16
HR 9074,"224635 ",118281,28.9,1.42,2.0,1.68,1.99,0.58,1.77
HR 9075,"224636 ",,,1.46,3.4,1.71,2.5,1.94,2.27
