recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
351,HD 188512,4920,102,3.21,0.133,3.39,0.09,-0.14,0.1,0.92,0.15,10.11,0.17,73.0,3.7,"E,2",1,298.8283,6.40676
352,HD 190360,5461,75,1.2,0.033,4.26,0.04,0.21,0.1,0.94,0.05,10.11,0.09,62.4,5.7,"E,1",1,300.90586,29.8968
353,HD 190406,5763,49,1.115,0.021,4.34,0.03,0.03,0.1,1.0,0.04,9.87,0.11,58.0,5.8,"E,1",1,301.02594,17.07016
354,HD 19373,5832,33,1.415,0.015,4.17,0.02,0.08,0.1,1.07,0.05,9.88,0.09,94.9,4.0,"E,2",1,47.26675,49.61328
355,HD 195564,5421,118,1.867,0.083,3.91,0.07,0.06,0.1,1.03,0.11,9.98,0.15,41.3,5.7,"E,2",1,308.09873,-9.85338
356,HD 199305,3692,22,0.547,0.007,4.72,0.01,-0.21,0.1,0.54,0.01,10.09,0.21,142.2,8.6,"E,1",1,313.33245,62.15439
357,HD 19994,5916,98,1.93,0.067,3.99,0.05,0.17,0.1,1.3,0.1,9.62,0.11,44.7,5.1,"E,2",1,48.19349,-1.1961
358,HD 201091,4361,17,0.661,0.005,4.63,0.02,-0.19,0.1,0.68,0.03,9.9,0.46,287.1,5.2,"E,2",0,316.7248,38.74944
359,HD 201092,3932,25,0.601,0.007,4.67,0.01,-0.29,0.1,0.6,0.01,10.09,0.21,285.4,6.0,"E,2",1,316.73027,38.74206
360,HD 206860,5860,83,1.019,0.029,4.43,0.05,-0.16,0.1,1.0,0.08,9.64,0.37,54.4,6.0,"E,2",0,326.13054,14.77194
361,HD 21019,5261,65,2.421,0.076,3.64,0.05,-0.41,0.1,0.93,0.07,10.01,0.11,27.1,6.2,"E,2",1,50.82375,-7.7941
362,HD 210702,4780,18,5.231,0.117,3.05,0.09,0.03,0.1,1.12,0.21,9.86,0.27,17.9,5.9,"E,2",1,332.96388,16.04055
363,HD 216899,3713,11,0.548,0.005,4.72,0.01,0.06,0.1,0.56,0.01,9.99,0.39,146.0,8.6,"E,1",1,344.14502,16.55343
364,HD 217014,5706,95,1.168,0.042,4.32,0.06,0.17,0.1,1.01,0.07,9.89,0.21,65.1,5.5,"E,2",1,344.36658,20.76883
365,HD 217107,5391,40,1.21,0.019,4.25,0.03,0.31,0.1,0.94,0.03,10.13,0.06,50.0,6.2,"E,1",1,344.56475,-2.39538
366,HD 217987,3676,35,0.471,0.009,4.79,0.02,-0.19,0.1,0.49,0.02,9.66,0.53,303.9,7.3,"E,2",1,346.46682,-35.85307
367,HD 219134,4699,16,0.778,0.005,4.55,0.01,0.07,0.1,0.77,0.02,10.12,0.11,153.2,5.6,"E,2",0,348.32073,57.16836
368,HD 219623,6285,94,1.195,0.036,4.36,0.04,0.04,0.1,1.18,0.06,9.25,0.25,49.3,5.6,"E,2",1,349.17626,53.21347
369,HD 222368,6192,26,1.595,0.014,4.12,0.02,-0.14,0.1,1.22,0.06,9.6,0.07,72.5,4.1,"E,2",0,354.98767,5.62629
370,HD 22484,5998,39,1.622,0.024,4.08,0.02,-0.09,0.1,1.15,0.04,9.71,0.09,72.9,4.3,"E,2",0,54.21826,0.40166
371,HD 23249,4955,30,2.327,0.029,3.7,0.03,0.12,0.1,0.98,0.06,10.1,0.09,110.6,3.5,"E,2",1,55.81209,-9.76339
372,HD 26965,5147,14,0.805,0.004,4.52,0.03,-0.24,0.1,0.79,0.05,10.04,0.18,198.2,4.4,"E,2",1,63.818,-7.65287
373,HD 30652,6441,19,1.322,0.01,4.29,0.02,0.0,0.1,1.25,0.05,9.28,0.15,124.6,3.2,"E,2",1,72.46005,6.96127
374,HD 34411,5774,44,1.331,0.021,4.2,0.03,0.05,0.1,1.03,0.04,9.92,0.08,79.1,4.7,"E,2",1,79.78531,40.09905
375,HD 36395,3801,9,0.574,0.004,4.7,0.01,0.35,0.1,0.6,0.01,9.76,0.49,177.1,8.0,"E,1",1,82.86415,-3.67723
376,HD 3651,5046,86,0.947,0.032,4.46,0.04,0.15,0.1,0.85,0.04,10.12,0.13,90.0,5.9,"E,2",0,9.84086,21.25047
377,HD 38858,5646,45,0.933,0.016,4.46,0.04,-0.22,0.1,0.91,0.07,9.81,0.28,65.6,6.0,"E,1",1,87.14558,-4.09465
378,HD 39587,5898,25,0.979,0.009,4.47,0.02,-0.04,0.1,1.04,0.04,9.27,0.28,115.4,4.4,"E,2",1,88.59576,20.27617
379,HD 4628,4950,14,0.695,0.004,4.63,0.02,-0.22,0.1,0.75,0.03,9.41,0.44,134.0,5.7,"E,2",1,12.09574,5.28061
380,HD 48737,6478,21,2.71,0.021,3.8,0.01,0.14,0.1,1.7,0.04,9.23,0.03,57.0,3.4,"E,2",0,101.32235,12.89559
381,HD 49933,6635,90,1.42,0.04,4.21,0.05,-0.39,0.1,1.18,0.09,9.49,0.16,33.8,5.8,"E,1",1,102.70763,-0.54088
382,HD 58946,6738,55,1.655,0.028,4.12,0.03,-0.25,0.1,1.32,0.09,9.39,0.11,54.1,4.2,"E,2",0,112.278,31.78455
383,HD 6210,6089,35,4.517,0.152,3.37,0.05,-0.01,0.1,1.7,0.15,9.21,0.07,12.8,5.8,"E,1",0,16.08105,61.58018
384,HD 69897,6130,58,1.387,0.028,4.19,0.04,-0.26,0.1,1.07,0.08,9.73,0.12,55.2,5.1,"E,2",1,125.01609,27.21771
385,HD 75732,5172,18,0.943,0.01,4.43,0.02,0.35,0.1,0.88,0.02,10.1,0.09,79.8,6.0,"E,2",1,133.14921,28.33082
386,HD 79210,3907,35,0.577,0.013,4.7,0.02,-0.18,0.1,0.58,0.02,9.85,0.51,161.6,7.6,"E,2",1,138.59496,52.68659
387,HD 7924,5075,83,0.782,0.026,4.58,0.04,-0.14,0.1,0.81,0.06,9.71,0.52,58.8,7.2,"E,1",1,20.49631,76.71029
388,HD 82885,5376,43,1.003,0.016,4.4,0.03,0.32,0.1,0.92,0.05,10.04,0.15,89.5,5.3,"E,2",1,143.9146,35.81014
389,HD 86728,5619,44,1.247,0.021,4.24,0.03,0.19,0.1,0.98,0.06,10.03,0.11,67.1,5.4,"E,2",1,150.25274,31.92367
390,HD 88230,4085,14,0.64,0.005,4.64,0.01,-0.16,0.1,0.63,0.01,10.14,0.09,205.2,6.6,"E,2",1,152.84225,49.45424
391,HD 95735,3464,15,0.392,0.003,4.86,0.01,-0.41,0.1,0.4,0.01,9.91,0.47,392.4,7.5,"E,2",1,165.83414,35.96988
392,GJ 176,3679,77,0.453,0.022,4.8,0.03,0.15,0.1,0.49,0.04,9.6,0.53,106.3,10.0,"E,1",1,70.7324,18.95817
