recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
233,HIP 10337,4051,239,0.694,0.072,4.67,0.06,0.12,0.1,0.65,0.07,9.6,0.53,42.6,9.8,"C,1",0,33.30069,-21.19645
234,HIP 105341,4033,242,0.673,0.063,4.67,0.05,-0.05,0.1,0.64,0.07,9.64,0.52,63.2,9.1,"C,1",0,320.05759,-19.85228
235,HIP 114156,4146,209,0.66,0.051,4.67,0.05,-0.02,0.1,0.65,0.06,9.59,0.52,45.1,9.6,"C,1",0,346.77941,-23.15945
236,HIP 118261,4615,214,0.715,0.051,4.62,0.05,-0.04,0.1,0.74,0.06,9.58,0.52,44.0,8.7,"C,1",0,359.80708,-26.04875
237,HIP 12493,4276,193,0.662,0.047,4.68,0.04,-0.29,0.1,0.64,0.06,9.6,0.52,41.9,9.5,"C,1",0,40.17864,1.19868
238,HIP 15095,4227,199,0.653,0.047,4.67,0.04,-0.21,0.1,0.64,0.06,9.61,0.52,54.0,9.1,"C,1",0,48.68593,-26.44625
239,HIP 1532,4039,241,0.594,0.055,4.71,0.06,-0.37,0.1,0.58,0.06,9.6,0.53,49.3,9.9,"C,1",0,4.77318,-9.96485
240,HIP 19165,4298,200,0.659,0.047,4.68,0.04,-0.22,0.1,0.65,0.06,9.56,0.52,38.7,9.7,"C,1",0,61.64517,-20.85312
241,HIP 25220,4505,179,0.702,0.042,4.63,0.04,0.05,0.1,0.73,0.06,9.58,0.52,68.5,7.9,"C,1",0,80.90991,17.32412
242,HIP 36551,4395,193,0.669,0.046,4.66,0.04,-0.3,0.1,0.66,0.06,9.63,0.52,48.5,8.9,"C,1",0,112.78213,14.61414
243,HIP 40375,4334,209,0.711,0.052,4.65,0.04,0.03,0.1,0.7,0.06,9.55,0.52,52.0,8.8,"C,1",0,123.64964,13.02283
244,HIP 40910,4159,228,0.633,0.053,4.67,0.05,-0.06,0.1,0.64,0.06,9.6,0.52,44.4,9.7,"C,1",0,125.23054,14.07133
245,HIP 45839,4426,198,0.714,0.05,4.63,0.04,0.05,0.1,0.72,0.06,9.61,0.52,41.8,9.1,"C,1",0,140.18465,-5.75397
246,HIP 47201,4207,212,0.696,0.054,4.66,0.05,0.03,0.1,0.67,0.06,9.63,0.52,44.5,9.4,"C,1",0,144.29725,22.69414
247,HIP 48411,4357,199,0.742,0.072,4.63,0.04,0.2,0.1,0.72,0.07,9.62,0.52,47.7,8.8,"C,2",0,148.04734,3.22184
248,HIP 4845,3967,301,0.632,0.073,4.72,0.12,-0.19,0.1,0.59,0.09,9.62,0.52,46.7,10.0,"C,1",0,15.58806,-10.42386
249,HIP 54810,4395,185,0.681,0.044,4.64,0.04,0.03,0.1,0.7,0.06,9.58,0.52,54.2,8.6,"C,1",0,168.30514,4.48234
250,HIP 5663,4186,222,0.672,0.055,4.67,0.05,-0.05,0.1,0.66,0.06,9.58,0.52,44.0,9.5,"C,1",0,18.19221,-25.23558
251,HIP 66222,3904,266,0.667,0.087,4.7,0.07,-0.11,0.1,0.59,0.08,9.62,0.52,48.8,9.9,"C,2",0,203.58959,4.6674
252,HIP 93871,4449,177,0.681,0.043,4.67,0.04,-0.47,0.1,0.65,0.05,9.67,0.52,40.8,9.2,"C,1",0,286.7585,7.61588
253,HIP 97051,4200,248,0.631,0.057,4.7,0.07,-0.19,0.1,0.62,0.07,9.59,0.52,38.5,10.0,"C,1",0,295.85557,10.08951
254,HD 111631,3989,60,0.646,0.02,4.66,0.05,0.24,0.08,0.7,0.07,9.79,0.51,93.7,8.5,"D,1",1,192.68153,-0.76813
255,HD 1326B,3218,60,0.192,0.008,5.07,0.05,-0.3,0.08,0.16,0.02,9.64,0.53,,11.0,"D,3",0,4.60624,44.02712
256,HD 157881,4124,60,0.649,0.02,4.66,0.05,0.19,0.08,0.71,0.07,9.65,0.52,129.3,7.6,"D,1",1,261.43847,2.11142
257,HD 165222,3614,60,0.459,0.016,4.79,0.05,-0.22,0.08,0.47,0.05,9.7,0.52,128.3,9.4,"D,2",1,271.28158,-3.03132
258,HD 180617,3558,60,0.474,0.016,4.76,0.05,0.1,0.08,0.47,0.05,9.7,0.52,169.4,9.1,"D,1",1,289.23024,5.1689
259,HD 209290,3848,60,0.546,0.019,4.74,0.05,0.02,0.08,0.59,0.06,9.56,0.52,94.2,9.1,"D,1",1,330.54281,1.40023
260,HD 232979,3929,60,0.608,0.02,4.68,0.05,-0.11,0.08,0.65,0.07,9.78,0.51,101.2,8.9,"D,1",1,69.42054,52.89361
261,HD 245409,3966,60,0.601,0.02,4.69,0.05,0.05,0.08,0.65,0.07,9.66,0.52,87.7,8.9,"D,1",1,84.12913,11.32787
262,HD 265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,"D,1",1,103.70399,33.26818
263,HD 28343,4124,62,0.687,0.023,4.64,0.05,0.39,0.08,0.74,0.07,9.77,0.51,89.0,8.3,"D,1",1,67.25052,21.9227
264,GJ 628,3272,60,0.325,0.012,4.88,0.05,-0.03,0.08,0.29,0.03,9.85,0.48,232.3,10.1,"D,1",1,247.57524,-12.66259
265,GL 105B,3284,60,0.278,0.01,4.94,0.05,-0.12,0.03,0.25,0.03,9.85,0.51,,11.7,"D,3",1,39.06399,6.87198
266,GL 109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,"D,2",1,41.06462,25.52336
267,GL 2066,3500,60,0.461,0.017,4.77,0.05,-0.12,0.08,0.45,0.04,9.78,0.51,112.0,10.1,"D,1",1,124.03326,1.30257
268,GL 239,3801,60,0.423,0.015,4.86,0.05,-0.34,0.08,0.47,0.05,9.49,0.52,99.5,9.6,"D,1",1,99.295,17.56482
269,GL 250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,"D,3",1,103.07521,-5.19006
270,GL 273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,"D,2",1,111.85208,5.22579
271,GL 382,3623,60,0.522,0.019,4.72,0.05,0.13,0.08,0.53,0.05,9.75,0.52,128.0,9.3,"D,2",1,153.07362,-3.74567
272,GL 393,3548,60,0.42,0.016,4.82,0.05,-0.18,0.08,0.43,0.04,9.66,0.52,138.3,9.7,"D,2",1,157.23146,0.84101
273,GL 514,3727,61,0.483,0.016,4.79,0.05,-0.09,0.08,0.53,0.05,9.54,0.52,131.1,9.0,"D,2",1,202.49911,10.37716
274,GL 625,3475,60,0.331,0.012,4.9,0.05,-0.35,0.08,0.32,0.03,9.75,0.51,154.1,10.2,"D,1",1,246.3526,54.3041
275,GL 686,3657,60,0.424,0.015,4.83,0.05,-0.25,0.08,0.44,0.04,9.63,0.53,123.0,9.6,"D,2",1,264.47228,18.59171
276,GL 694,3464,61,0.44,0.017,4.79,0.05,0.0,0.08,0.43,0.04,9.72,0.52,105.4,10.5,"D,2",1,265.98318,43.37861
277,GL 745A,3500,60,0.31,0.012,4.93,0.05,-0.33,0.08,0.3,0.03,9.75,0.52,113.4,10.8,"D,1",1,286.77319,20.88804
278,GL 806,3542,61,0.443,0.018,4.78,0.05,-0.15,0.08,0.43,0.04,9.72,0.52,83.0,10.7,"D,1",1,311.26708,44.49907
279,GL 83.1,3080,60,0.187,0.01,5.05,0.05,-0.16,0.08,0.14,0.01,9.68,0.53,,12.3,"D,3",1,30.054,13.05195
280,GL 87,3638,62,0.443,0.017,4.79,0.05,-0.36,0.08,0.44,0.04,9.74,0.52,94.8,10.0,"D,1",1,33.08745,3.57562
281,GL 875,3740,61,0.563,0.024,4.7,0.05,0.02,0.08,0.58,0.06,9.77,0.51,71.4,9.8,"D,2",1,342.58093,-7.0901
282,GL 896A,3353,60,0.409,0.016,4.79,0.05,0.03,0.08,0.38,0.04,9.76,0.51,,10.2,"D,3",1,352.96738,19.93729
283,GL 908,3646,60,0.407,0.014,4.83,0.05,-0.45,0.08,0.41,0.04,9.72,0.52,169.1,9.0,"D,1",1,357.30219,2.40122
284,HIP 104432,3545,60,0.369,0.016,4.86,0.05,-0.45,0.08,0.36,0.04,9.7,0.52,84.9,10.9,"D,1",1,317.32261,-13.3025
285,HIP 109388,3530,60,0.47,0.018,4.78,0.05,0.37,0.08,0.48,0.05,9.65,0.52,113.2,10.4,"D,1",1,332.4181,-4.64074
286,HIP 11048,3785,62,0.599,0.021,4.67,0.05,0.14,0.08,0.61,0.06,9.85,0.49,83.9,9.3,"D,2",1,35.56101,47.88003
287,HIP 115332,3324,60,0.416,0.02,4.79,0.05,0.24,0.08,0.39,0.04,9.68,0.52,93.5,11.7,"D,2",1,350.40604,17.29039
288,HIP 115562,3764,60,0.539,0.02,4.74,0.05,0.31,0.08,0.58,0.06,9.55,0.52,75.8,10.1,"D,1",1,351.12714,57.85431
289,HIP 15366,3700,61,0.628,0.031,4.65,0.05,0.53,0.08,0.64,0.06,9.76,0.51,57.8,10.3,"D,2",1,49.53117,38.25207
290,HIP 1734,3600,60,0.528,0.028,4.73,0.05,0.27,0.08,0.55,0.06,9.69,0.52,55.2,11.1,"D,1",1,5.48352,-31.40606
291,HIP 21556,3671,61,0.444,0.017,4.82,0.05,-0.04,0.08,0.47,0.05,9.55,0.52,89.5,10.3,"D,1",1,69.42444,-11.03888
