recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
397,44799,0.581,9.2,0.164,0.004,-4.95,2.0,43.1,1.7,-22.7,1.3,-37.9,1.6,8.2,0.4,137.0,-30.0
378,43267,0.682,9.3,0.149,0.004,-5.08,2.7,28.9,1.7,19.8,2.6,-38.2,1.9,-21.9,2.4,132.0,-32.0
379,43287,0.649,8.38,0.148,0.004,-5.08,4.7,12.0,1.7,13.0,1.5,-18.2,1.7,-10.0,1.1,132.0,-30.0
362,40914,0.643,9.32,0.143,0.004,-5.12,2.9,18.9,1.7,47.6,6.3,-39.5,3.0,-3.2,0.6,125.0,-29.0
391,44291,0.833,8.63,0.159,0.004,-5.05,2.8,7.5,1.6,39.1,2.0,-27.7,1.8,-24.8,1.3,135.0,-26.0
392,44291,0.833,8.63,0.159,0.004,-5.05,2.8,7.5,1.7,39.1,2.0,-27.7,1.8,-24.8,1.3,135.0,-26.0
400,45685,0.566,8.46,0.153,0.004,-5.01,4.9,23.3,1.7,-12.6,0.7,-22.3,1.6,-1.9,0.9,140.0,-24.0
394,44657,0.674,8.66,0.291,0.006,-4.55,2.6,16.1,1.7,-12.3,0.7,-16.6,1.5,-10.0,1.1,136.0,-22.0
387,44171,0.506,8.41,0.151,0.004,-5.02,4.2,-23.1,1.7,-9.8,1.9,25.9,1.6,-13.5,0.9,135.0,-21.0
413,47732,0.671,9.34,0.17,0.004,-4.94,2.1,61.8,1.6,-94.1,6.8,-50.4,1.6,-6.0,2.3,146.0,-26.0
404,46603,0.53,9.5,0.165,0.004,-4.92,2.8,36.3,1.7,-54.0,5.3,-25.9,1.8,0.4,1.4,143.0,-26.0
406,47002,0.79,9.08,0.296,0.006,-4.63,3.0,16.7,1.7,36.3,2.0,-21.7,1.5,15.7,0.7,144.0,-24.0
420,48323,0.591,7.78,0.147,0.004,-5.07,7.4,-20.4,1.8,-0.2,0.6,2.2,2.1,-43.9,3.1,148.0,-21.0
409,47156,0.685,8.82,0.184,0.004,-4.88,2.2,20.9,1.6,-13.3,0.6,-16.1,1.5,8.4,0.6,144.0,-22.0
415,47856,0.663,8.26,0.142,0.004,-5.13,3.9,2.2,1.7,-47.7,4.5,-5.0,1.5,-33.2,3.3,146.0,-21.0
442,50701,0.623,8.76,0.163,0.004,-4.97,3.6,-7.8,1.7,21.4,1.6,-11.5,2.0,-26.4,1.9,155.0,-18.0
393,44483,0.516,8.77,0.307,0.006,-4.44,,,,,,,,,,136.0,-20.0
417,47961,0.706,9.44,0.179,0.004,-4.92,2.6,-9.0,1.7,-83.4,8.3,28.1,2.4,-22.4,1.9,147.0,-15.0
414,47734,0.582,9.33,0.166,0.004,-4.94,2.7,-6.2,1.7,-59.2,6.4,-6.4,1.7,-61.8,6.1,146.0,-10.0
356,40229,0.66,9.32,0.17,0.004,-4.94,2.6,7.4,1.7,40.3,3.8,-38.0,3.0,-6.5,0.7,123.0,-15.0
369,42098,0.686,8.83,0.156,0.004,-5.03,2.5,-39.0,1.7,72.2,4.1,-2.0,2.9,-15.8,0.6,129.0,-14.0
338,38998,0.869,8.81,0.204,0.005,-4.91,1.5,-14.4,1.6,7.5,1.0,5.0,1.3,-40.6,1.4,120.0,-13.0
343,39298,0.721,8.06,0.154,0.004,-5.05,2.7,25.5,1.7,0.7,1.2,-41.6,1.6,-40.9,2.0,121.0,-13.0
385,44059,0.843,9.06,0.16,0.004,-5.05,2.6,40.8,1.6,18.0,2.4,-65.4,2.4,-15.6,1.9,135.0,-14.0
402,46203,0.725,9.13,0.249,0.005,-4.69,2.6,-26.0,1.6,58.8,3.8,-4.0,2.3,-10.5,0.8,141.0,-10.0
371,42581,0.734,7.59,0.178,0.004,-4.93,3.9,12.1,1.7,-11.7,1.0,-10.3,1.3,-7.2,1.0,130.0,-12.0
372,42581,0.734,7.59,0.178,0.004,-4.93,4.1,12.2,1.7,-11.8,1.0,-10.4,1.3,-7.1,1.0,130.0,-12.0
370,42408,0.698,8.19,0.159,0.004,-5.02,2.3,-5.5,1.6,67.8,3.2,-45.8,2.6,1.2,0.6,130.0,-6.0
388,44212,0.537,7.8,0.173,0.004,-4.88,3.4,8.0,1.7,26.8,1.7,-28.4,1.7,-1.9,0.7,135.0,-9.0
384,43470,0.764,9.38,0.162,0.004,-5.02,2.4,23.6,1.6,-58.1,5.7,2.6,2.8,-15.8,3.2,133.0,-6.0
715,83217,0.798,9.41,0.164,,-5.02,1.7,59.6,1.6,-6.6,2.1,-81.1,2.2,-8.6,1.1,255.0,-87.0
663,72203,0.756,8.8,0.175,0.004,-4.95,1.4,7.8,1.6,-41.6,3.7,-51.5,3.7,9.2,0.8,222.0,-69.0
703,81369,0.559,8.68,0.165,0.004,-4.93,11.8,11.7,2.1,-2.2,2.2,-26.3,2.6,5.0,1.0,249.0,-62.0
674,78312,0.657,8.94,0.149,0.004,-5.08,3.2,-23.0,1.7,-20.2,1.4,16.2,1.1,-26.0,3.4,240.0,-61.0
563,60788,0.92,9.38,0.16,0.004,-5.09,2.3,56.2,1.6,2.6,1.6,-67.7,1.8,16.6,1.3,187.0,-71.0
653,71343,0.509,8.0,0.156,0.004,-4.98,6.8,5.1,1.8,-45.8,4.0,-46.9,3.6,-15.2,1.1,219.0,-67.0
549,59051,0.645,9.39,0.158,0.004,-5.01,3.9,-3.4,1.7,-27.9,2.9,-8.6,1.9,-16.8,1.9,182.0,-72.0
556,59639,0.892,8.63,0.205,0.005,-4.93,2.8,72.8,1.6,6.8,1.1,-80.9,1.5,4.0,0.3,183.0,-69.0
624,66418,0.657,8.53,0.152,0.004,-5.05,3.0,-37.6,1.7,-86.3,5.3,-19.0,4.3,-3.8,0.5,204.0,-65.0
625,66676,0.588,8.34,0.197,0.004,-4.78,4.0,0.8,1.7,-3.6,1.1,-3.4,1.3,15.6,1.0,205.0,-61.0
637,67534,0.739,8.34,0.148,0.004,-5.09,2.9,23.6,1.7,-71.5,6.5,-101.8,6.3,-79.4,6.0,208.0,-57.0
661,72042,0.598,8.6,0.149,0.004,-5.05,3.3,34.6,1.7,24.2,1.3,-24.7,1.2,2.3,0.4,221.0,-56.0
651,71262,0.673,9.37,0.197,0.004,-4.82,2.6,-24.5,1.7,-44.5,3.0,-12.1,3.1,1.1,0.5,219.0,-54.0
654,71423,0.631,9.09,0.163,0.004,-4.97,1.9,-26.8,1.6,-57.6,3.9,-29.9,4.8,-35.9,3.2,219.0,-54.0
659,71932,0.657,8.85,0.165,0.004,-4.97,2.4,-34.5,1.7,-13.0,1.7,35.5,1.6,-14.7,0.8,221.0,-49.0
719,83983,0.713,8.21,0.144,0.004,-5.12,3.0,-4.3,1.6,-20.0,1.9,-18.7,1.7,-29.1,2.2,258.0,-56.0
723,87083,0.82,9.08,0.26,0.006,-4.73,1.3,-27.8,1.6,-41.7,1.8,-19.5,2.0,-7.9,1.0,267.0,-56.0
704,81478,0.7,8.61,0.715,0.01,-4.08,9.8,-29.0,1.9,-18.4,1.7,28.8,1.4,-9.8,0.9,250.0,-57.0
700,81240,0.631,8.86,0.148,0.004,-5.08,3.0,6.8,1.7,13.0,1.7,11.8,1.9,-9.9,1.1,249.0,-53.0
707,81592,0.7,7.61,0.359,0.007,-4.45,4.5,-1.6,1.7,0.2,1.5,6.6,0.9,-16.7,1.2,250.0,-52.0
685,80081,0.567,9.49,0.156,0.004,-5.0,2.7,-7.3,1.7,-43.8,4.8,-50.9,6.7,-57.0,7.0,245.0,-56.0
