recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
447,77655,HD 142091," ",K0 III-IV," ",4789,3.21," ",1.0,f,-0.09," ",K,,,"  ",," ",,HIP 77655,237.808,35.6574
457,78913,HD 144872," ",K3 V," ",4782,4.65,f,1.0,f,-0.64," "," ",0.294,-4.804,"I ",3.6," ",,HIP 78913,241.6233,38.6322
456,78775,HD 144579," ",K0 V Fe-1.2," ",5280,4.5,f,1.0,f,-0.55," "," ",0.151,-5.076,"I ",3.6," ",,HIP 78775,241.2366,39.1565
469,80008,HD 147365," ",F4 V," ",6672,4.15," ",1.8," ",-0.09," ",*,,,"  ",," ",91,HIP 80008,244.9798,39.7086
449,77760,HD 142373," ",G0 V Fe-0.8...,*,5837,3.83," ",1.2," ",-0.45," "," ",0.151,-5.012,"I ",1.8," ",87,HIP 77760,238.1689,42.4515
459,79359,BD+43 2575," ",K3.5 V," ",,," ",," ",," "," ",0.507,-4.614,"A ",3.6," ",,HIP 79359,242.9501,43.1669
458,79248,HD 145675," ",K0 IV-V," ",4965,4.31,f,1.0,f,-0.05," "," ",0.152,-5.103,VI,3.6," ",,HIP 79248,242.6013,43.8176
439,76382,HD 139341," ",K1 V," ",,," ",," ",," "," ",0.155,-5.102,VI,3.6," ",,HIP 76382,234.0093,39.8025
438,76375,HD 139323," ",K2 IV-V," ",4891,4.41,f,1.0,f,0.0," "," ",0.162,-5.103,VI,3.6," ",,HIP 76375,233.9857,39.8311
429,75676,HD 138004," ",G2 III," ",5688,4.01," ",1.0,f,0.15," "," ",0.197,-4.825,"I ",3.6," ",,HIP 75676,231.9181,42.8814
481,83006,HD 153525," ",K3 V," ",4692,4.63,f,1.0,f,-0.55," "," ",0.542,-4.57,"A ",3.6," ",,HIP 83006,254.426,47.3621
482,83020,HD 153557," ",K3 V," ",4649,4.56,f,1.0,f,-0.83," "," ",0.584,-4.508,"A ",3.6," ",,HIP 83020,254.4716,47.3667
476,81633,HD 150748," ",K3 V," ",,," ",," ",," "," ",0.439,-4.639,"A ",3.6," ",,HIP 81633,250.1462,49.1665
504,87585,HD 163588," ",K2 III," ",4449,2.31," ",1.0,f,-0.01," ",K,,,"  ",," ",,HIP 87585,268.3822,56.8726
380,67422,HD 120476," ",K3.5 V," ",,," ",," ",," "," ",0.824,-4.552,"A ",3.6," ",,HIP 67422,207.2666,26.9799
382,67773,HD 121131," ",K0- V," ",,," ",," ",," "," ",0.135,-5.178,VI,3.6," ",,HIP 67773,208.2721,27.8068
392,69526,HD 124642," ",K3.5 V," ",,," ",," ",," "," ",0.889,-4.439,"A ",3.6," ",,HIP 69526,213.4878,30.2172
361,65343,HD 116495," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 65343,200.8866,29.2375
354,63636,HD 113319," ",G4 V," ",5632,4.45," ",1.0,f,-0.12," "," ",0.311,-4.503,"A ",3.6," ",,HIP 63636,195.6394,32.4333
369,66193,HD 118096," ",K4 V," ",,," ",," ",," "," ",0.633,-4.62,"A ",3.6," ",,HIP 66193,203.5135,33.2284
402,71193,HD 128041," ",G8 V," ",5300,4.24," ",1.0,f,-0.28," "," ",0.152,-5.069,"I ",1.8," ",,HIP 71193,218.4013,35.5857
400,70950,HD 127506," ",K3.5 V," ",4626,4.7,f,1.0,f,-0.4," "," ",0.442,-4.706,"A ",3.6," ",,HIP 70950,217.6874,35.4538
399,70873,HD 127334,*,G5 V CH0.3," ",5522,4.11," ",1.0,f,-0.03," "," ",0.144,-5.118,VI,1.8," ",,HIP 70873,217.4034,41.7959
394,69732,HD 125162," ",A3 Va {lambda} Boo...,*,8512,3.95," ",2.0,f,-1.86," ",*,,,"  ",," ",79,HIP 69732,214.0959,46.0883
391,69518,HD 124694," ",F8 V," ",6188,4.68," ",1.0,f,0.04," "," ",0.279,-4.487,"A ",3.6," ",,HIP 69518,213.4639,46.3252
379,67301,HD 120315," ",B3+ V," ",16494,4.17," ",2.0,f,0.0,f,*,,,"  ",," ",76,HIP 67301,206.8852,49.3133
381,67691,HD 234078," ",K7 V," ",,," ",," ",," "," ",1.809,-4.551,"A ",3.6," ",,HIP 67691,208.0,49.9509
346,63121,HD 112412," ",F2 V," ",6969,4.17," ",2.0," ",-0.13," "," ",,,"  ",," ",,HIP 63121,194.0019,38.3149
347,63125,HD 112413," ",A0 II-IIIp SiEuCr," ",,," ",," ",," "," ",,,"  ",," ",,HIP 63125,194.0069,38.3184
342,62207,HD 110897," ",F9 V Fe-0.3," ",5907,4.31," ",1.1," ",-0.44," "," ",0.172,-4.869,"I ",1.8," ",,HIP 62207,191.2475,39.2789
350,63406,HD 112914," ",K3- V," ",,," ",," ",," "," ",0.179,-5.043,"I ",3.6," ",,HIP 63406,194.8866,41.9868
338,61317,HD 109358," ",G0 V," ",5818,4.27," ",1.0,f,-0.22," "," ",0.193,-4.792,"I ",3.6," ",,HIP 61317,188.4356,41.3575
327,59280,HD 105631," ",G9 V," ",,," ",," ",," "," ",0.245,-4.744,"A ",3.6," ",,HIP 59280,182.4052,40.2521
367,65775,HD 117378," ",F9.5 V+," ",5949,4.29," ",1.8," ",-0.18," "," ",0.292,-4.492,"A ",1.8," ",,HIP 65775,202.2637,42.2383
360,65026,HD 115953," ",M2 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 65026,199.9402,47.778
374,66704,HD 119124," ",F8 V," ",6156,4.38," ",2.0," ",-0.2," "," ",0.339,-4.371,"A ",1.8," ",,HIP 66704,205.0968,50.5194
364,65378,HD 116656," ",A1.5 Vas," ",9330,3.88," ",2.0," ",0.16," "," ",,,"  ",," ",,HIP 65378,200.9814,54.9254
365,65477,HD 116842," ",A6 Vnn," ",7955,3.88," ",2.0,f,0.0," ",*,,,"  ",," ",73,HIP 65477,201.3064,54.988
366,65515,HD 116956," ",G9 V," ",5317,4.48," ",1.0,f,-0.08," "," ",0.422,-4.447,"A ",3.6," ",,HIP 65515,201.4397,56.9705
336,61053,HD 108954,*,F9 V," ",6052,4.41," ",1.4," ",-0.09," "," ",0.165,-4.921,"I ",1.8," ",,HIP 61053,187.7089,53.0766
332,59774,HD 106591," ",A2 Vn," ",8613,3.7," ",2.0,f,-0.03," ",*,,,"  ",," ",67,HIP 59774,183.8565,57.0326
345,62956,HD 112185," ",A1 III-IVp kB9," ",9020,3.23," ",2.0,f,0.0,f,*,,,"  ",," ",70,HIP 62956,193.5073,55.9598
352,63503,HD 113139," ",F2 V," ",6829,3.94," ",2.3," ",-0.1," ",*,,,"  ",," ",72,HIP 63503,195.1821,56.3663
413,73100,HD 132254,*,F8- V," ",6200,3.79," ",1.5," ",-0.02," "," ",0.146,-5.03,"I ",1.8," ",,HIP 73100,224.096,49.6284
428,75458,HD 137759," ",K2 III," ",4526,2.64," ",1.0,f,0.11," ",K,,,"  ",," ",,HIP 75458,231.2324,58.9661
470,80331,HD 148387," ",G8 III-IV," ",4941,3.33," ",1.0,f,-0.31," ",K,,,"  ",," ",,HIP 80331,245.9979,61.5142
421,74605,HD 136064,*,F8 V," ",6152,3.93," ",1.4," ",0.06," "," ",0.139,-5.105,VI,1.8," ",,HIP 74605,228.6597,67.3467
405,71631,HD 129333," ",G5 V Fe-0.7...,*,5765,4.61," ",1.0,f,-0.04," "," ",0.613,-4.106,VA,3.6," ",80,HIP 71631,219.7509,64.2917
388,69400,HD 124752," ",K0- V,*,,," ",," ",," "," ",0.204,-4.873,"I ",3.6," ",77,HIP 69400,213.1127,67.5862
389,69400,BD+68 771B," ",M2 V,*,,," ",," ",," "," ",,,"  ",," ",,HIP 69400,213.1127,67.5862
348,63076,HD 112429," ",F1 V mA7(n),*,7129,4.01," ",1.9," ",-0.14," ",*,,,"  ",," ",71,HIP 63076,193.869,65.4385
328,59504,HD 106112," ",kA6hF0mF0 (III),*,,," ",," ",," "," ",,,"  ",," ",66,HIP 59504,183.0498,77.6162
433,75809,HD 139777," ",G1.5 V(n)," ",5703,4.55," ",1.0,f,-0.05," "," ",0.371,-4.405,"A ",3.6," ",,HIP 75809,232.2966,80.4486
573,101955,HD 196795," ",K5 V," ",,," ",," ",," "," ",1.079,-4.647,"A ",3.6," ",,HIP 101955,309.9071,4.972
588,104092,HD 200779," ",K6 V," ",,," ",," ",," "," ",0.673,-4.657,"A ",3.6," ",,HIP 104092,316.3323,7.0693
595,105038,HD 202575," ",K3 V," ",4598,4.66,f,1.0,f,-0.68," "," ",0.643,-4.522,"A ",3.6," ",,HIP 105038,319.1353,9.3938
593,104858,HD 202275," ",F7 V," ",6238,4.05," ",1.5," ",-0.07," "," ",0.16,-4.905,"I ",1.8," ",,HIP 104858,318.6201,10.007
584,103256,BD+12 4499," ",K4 V," ",,," ",," ",," "," ",0.364,-4.824,"I ",3.6," ",,HIP 103256,313.7786,13.1768
606,107350,HD 206860," ",G0 IV-V,*,5917,4.5," ",1.3," ",-0.12," "," ",0.309,-4.456,"A ",1.8," ",111,HIP 107350,326.1305,14.7719
608,108028,HD 208038," ",K2.5 V," ",,," ",," ",," "," ",0.456,-4.569,"A ",3.6," ",,HIP 108028,328.2723,20.9305
602,106897,HD 206043," ",F1 V(n)," ",7145,3.93," ",2.3," ",-0.13," ",*,,,"  ",," ",110,HIP 106897,324.755,20.2655
591,104659,HD 201891," ",G5 V Fe-2.5...,*,6000,4.5," ",1.0,f,-0.91," "," ",,,"  ",," ",107,HIP 104659,317.996,17.7277
600,106231,BD+22 4409," ",K3 V ke,*,,," ",," ",," "," ",2.886,-3.906,VA,3.6," ",109,HIP 106231,322.7571,23.3354
603,107070,HD 206374," ",G6.5 V," ",5506,4.51," ",1.0,f,-0.17," "," ",0.185,-4.883,"I ",3.6," ",,HIP 107070,325.2758,26.7507
601,106811,BD+27 4120," ",M0.5+ V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 106811,324.5016,27.7237
604,107310,HD 206826," ",F6 V," ",6309,3.86," ",1.6," ",-0.22," "," ",0.181,-4.783,"I ",1.8," ",,HIP 107310,326.0357,28.7426
568,100511,HD 194012," ",F7 V," ",6250,4.22," ",1.5," ",-0.15," "," ",0.222,-4.632,"A ",1.8," ",,HIP 100511,305.7182,14.5511
553,98677,HD 190067," ",K0 V Fe-0.9," ",5371,4.5,f,1.0,f,-0.62," "," ",0.169,-4.964,"I ",3.6," ",,HIP 98677,300.6423,15.5921
563,99452,HD 191785," ",K0 V," ",,," ",," ",," "," ",0.151,-5.093,"I ",3.6," ",,HIP 99452,302.7753,16.188
561,99316,HD 191499," ",G9 V," ",,," ",," ",," "," ",0.153,-5.076,"I ",3.6," ",,HIP 99316,302.3929,16.8058
574,102040,HD 197076,*,G1 V," ",5842,4.34," ",1.0,f,-0.02," "," ",0.166,-4.946,"I ",1.8," ",,HIP 102040,310.1881,19.9355
575,102226,HD 197396," ",K2.5 V," ",,," ",," ",," "," ",0.151,-5.112,VI,3.6," ",,HIP 102226,310.7057,20.8446
557,98819,HD 190406," ",G0 V," ",5824,4.32," ",1.0,f,-0.04," "," ",0.182,-4.846,"I ",1.8," ",,HIP 98819,301.0259,17.0702
552,98505,HD 189733," ",K2 V," ",4939,4.53,f,1.0,f,-0.37," "," ",0.459,-4.553,"A ",1.8," ",,HIP 98505,300.1821,22.7109
556,98792,HD 190404," ",K1 V," ",5151,4.63,f,1.0,f,-0.62," "," ",0.136,-5.173,VI,3.6," ",,HIP 98792,300.9672,23.3407
558,98828,HD 190470," ",K2.5 V," ",4968,4.5,f,1.0,f,-0.16," "," ",0.258,-4.828,"I ",3.6," ",,HIP 98828,301.0419,25.7902
592,104733,HD 202108," ",G3 V," ",5665,4.38," ",1.0,f,-0.3," "," ",0.214,-4.757,"I ",1.8," ",,HIP 104733,318.2402,30.8095
582,,HD 335248," ",G8 IV,*,,," ",," ",," "," ",,,"  ",," ",106,HD 335248,312.549,29.3753
581,102851,HD 198550," ",K4 V," ",,," ",," ",," "," ",0.785,-4.509,"A ",3.6," ",,HIP 102851,312.544,29.3841
580,102766,HD 198425," ",K2.5 V," ",,," ",," ",," "," ",0.329,-4.726,"A ",3.6," ",,HIP 102766,312.3176,32.2848
569,101262,BD+33 3936," ",K4 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 101262,307.8836,33.7759
578,102488,HD 197989," ",K0 III-IV," ",4799,2.39," ",1.0,f,-0.24," ",K,,,"  ",," ",,HIP 102488,311.5528,33.9703
590,104217,HD 201092," ",K7 V," ",,," ",," ",," "," ",0.978,-4.864,"I ",1.8," ",,HIP 104217,316.7303,38.7421
589,104214,HD 201091," ",K5 V," ",,," ",," ",," "," ",0.7,-4.704,"A ",1.8," ",,HIP 104214,316.7248,38.7494
627,112800," "," ",M2+ V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 112800,342.6571,34.8561
610,108706," "," ",M4.5 V kee," ",,," ",," ",," "," ",,,"  ",," ",112,HIP 108706,330.3046,28.3069
609,108156,HD 208313," ",K2 V," ",,," ",," ",," "," ",0.189,-4.987,"I ",3.6," ",,HIP 108156,328.6877,32.3286
613,109527,HD 210667," ",G9 V," ",,," ",," ",," "," ",0.297,-4.647,"A ",3.6," ",,HIP 109527,332.7996,36.2563
642,114886,HD 219538," ",K2 V," ",5001,4.52,f,1.0,f,-0.37," "," ",0.194,-4.944,"I ",3.6," ",,HIP 114886,349.0757,30.6702
639,114456,HD 218868," ",G8 V," ",,," ",," ",," "," ",0.158,-5.036,"I ",3.6," ",,HIP 114456,347.7087,45.5123
645,115331,HD 220182," ",G9 V," ",5337,4.5," ",1.0,f,-0.09," "," ",0.38,-4.503,"A ",3.6," ",,HIP 115331,350.4021,44.0979
646,115341,HD 220221," ",K3 V  (k)," ",,," ",," ",," "," ",0.5,-4.694,"A ",3.6," ",,HIP 115341,350.4352,45.1761
653,116613,HD 222143," ",G3 V  (k)," ",5763,4.33," ",1.0,f,-0.06," "," ",0.288,-4.555,"A ",1.8," ",,HIP 116613,354.4937,46.1994
652,116584,HD 222107," ",G8 IV k,*,4636,2.79," ",1.0,f,-0.44," ",K,0.712,-4.476,"A ",1.8," ",118,HIP 116584,354.391,46.4582
663,118162,HD 224465," ",G4 V," ",5664,4.22," ",1.0,f,-0.12," "," ",0.167,-4.969,"I ",1.8," ",,HIP 118162,359.5284,50.4477
638,114385,HD 218739," ",G1 V," ",5788,4.41," ",1.0,f,0.06," "," ",0.285,-4.557,"A ",1.8," ",,HIP 114385,347.4953,47.9594
637,114379,HD 218738," ",K2 V k,*,4932,4.43,f,1.0,f,-0.53," "," ",1.18,-4.076,VA,3.6," ",116,HIP 114379,347.489,47.9584
605,107346,BD+40 4631," ",K8 V," ",,," ",," ",," "," ",1.721,-4.588,"A ",3.6," ",,HIP 107346,326.1248,41.5975
594,104887,HD 202444," ",F2+ V," ",6621,3.54," ",1.9," ",-0.2," "," ",,,"  ",," ",,HIP 104887,318.6979,38.0453
598,105406,HD 203454," ",F8 V," ",6051,4.16," ",1.0,f,-0.26," "," ",0.351,-4.344,"A ",1.8," ",,HIP 105406,320.2559,40.3451
607,107376,BD+43 4035," ",M2+ V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 107376,326.225,44.2858
640,114570,HD 219080," ",F1 V," ",7176,3.93," ",2.7," ",-0.22," "," ",,,"  ",," ",,HIP 114570,348.1375,49.4062
614,109926,HD 211472," ",K0 V," ",5304,4.51,f,1.0,f,0.0," "," ",0.362,-4.538,"A ",3.6," ",,HIP 109926,333.9756,54.6729
629,112915,HD 216448," ",K3 V," ",,," ",," ",," "," ",0.463,-4.699,"A ",3.6," ",,HIP 112915,343.0023,57.7169
641,114622,HD 219134," ",K3 V," ",4798,4.55,f,1.0,f,-0.09," "," ",0.182,-5.089,"I ",3.6," ",,HIP 114622,348.3207,57.1684
649,116085,HD 221354," ",K0 V," ",5277,4.43,f,1.0,f,0.0," "," ",0.14,-5.149,VI,3.6," ",,HIP 116085,352.8425,59.1655
538,96183,HD 184385," ",G8 V," ",5400,4.41," ",1.0,f,-0.1," "," ",0.229,-4.751,"I ",1.8," ",,HIP 96183,293.3565,21.8403
546,97420,HD 187237," ",G2 IV-V," ",5788,4.61," ",1.0,f,0.06," "," ",0.184,-4.871,"I ",1.8," ",,HIP 97420,297.0037,27.8695
555,98767,HD 190360," ",G7 IV-V," ",5490,4.04," ",1.0,f,0.18," "," ",0.148,-5.095,"I ",1.8," ",,HIP 98767,300.9059,29.8968
550,98192,HD 189087," ",G9 V," ",5270,4.58," ",1.0,f,-0.3," "," ",0.249,-4.741,"A ",3.6," ",,HIP 98192,299.3059,29.824
544,97223,HD 332518," ",K5 V," ",,," ",," ",," "," ",0.737,-4.714,"A ",3.6," ",,HIP 97223,296.3984,30.0102
543,97222,HD 186858," ",K3+ V," ",,," ",," ",," "," ",0.386,-4.726,"A ",3.6," ",,HIP 97222,296.3897,33.602
545,97295,HD 187013," ",F5.5 IV-V," ",6401,3.97," ",1.6," ",-0.06," "," ",0.156,-4.92,"I ",1.8," ",,HIP 97295,296.6067,33.7276
525,93185,HD 176377," ",G1 V," ",5817,4.57," ",1.0,f,-0.26," "," ",0.179,-4.868,"I ",1.8," ",,HIP 93185,284.7125,30.1806
534,95319,HD 182488," ",G9+ V," ",5352,4.43," ",1.0,f,-0.08," "," ",0.153,-5.074,"I ",3.6," ",,HIP 95319,290.8917,33.222
533,94981,HD 181655,*,G5 V," ",5617,4.39," ",1.0,f,-0.01," "," ",0.157,-5.026,"I ",3.6," ",,HIP 94981,289.9125,37.3305
560,99031,HD 191026," ",K0 IV," ",4966,3.76," ",1.0,f,-0.44," "," ",0.18,-4.976,"I ",3.6," ",,HIP 99031,301.5907,35.9725
559,98921,HD 190771," ",G2 V," ",5732,4.43," ",1.0,f,-0.01," "," ",0.308,-4.501,"A ",1.8," ",,HIP 98921,301.2908,38.4785
572,101875,HD 196850," ",G1 V," ",5792,4.3," ",1.0,f,-0.12," "," ",0.158,-4.987,"I ",1.8," ",,HIP 101875,309.6675,38.6351
571,101382,HD 195987," ",G9 V," ",,," ",," ",," "," ",0.169,-4.999,"I ",3.6," ",,HIP 101382,308.2152,41.8985
524,91605,BD+31 3330," ",K2.5 V," ",4852,4.69,f,1.0,f,-0.68," "," ",0.203,-4.909,"I ",3.6," ",,HIP 91605,280.2287,31.5331
523,91262,HD 172167," ",A0 Va," ",9519,3.88," ",2.0,f,-0.43," ",*,,,"  ",," ",101,HIP 91262,279.2347,38.7837
517,89474,HD 168009,*,G1 V," ",5733,4.19," ",1.0,f,-0.07," "," ",0.154,-5.033,"I ",1.8," ",,HIP 89474,273.8853,45.2093
516,89087,BD+49 2743," ",K6 V," ",,," ",," ",," "," ",1.528,-4.544,"A ",3.6," ",,HIP 89087,272.7345,49.9711
535,95575,HD 183255," ",K2.5 V,*,4736,4.45,f,1.0,f,-0.68," "," ",0.157,-5.109,VI,3.6," ",104,HIP 95575,291.6083,49.4653
530,94336,HD 179957," ",G3 V," ",,," ",," ",," "," ",0.148,-5.079,"I ",1.8," ",,HIP 94336,288.021,49.8558
531,94336,HD 179958," ",G2 V," ",,," ",," ",," "," ",0.15,-5.067,"I ",1.8," ",,HIP 94336,288.021,49.8558
540,96441,HD 185395," ",F3+ V," ",6747,4.21," ",2.0," ",-0.04," "," ",,,"  ",," ",,HIP 96441,294.1129,50.2194
541,96895,HD 186408,*,G1.5 V," ",5788,4.21," ",1.0,f,0.14," "," ",0.158,-5.003,"I ",1.8," ",,HIP 96895,295.454,50.5251
542,96901,HD 186427," ",G3 V," ",5639,4.26," ",1.0,f,-0.12," "," ",0.161,-4.992,"I ",1.8," ",,HIP 96901,295.4665,50.5175
522,91009,HD 234677," ",K4 V ke,*,,," ",," ",," "," ",3.714,-4.142,VA,3.6," ",100,HIP 91009,278.4824,51.7191
587,103859,HD 200560," ",K2.5 V," ",4801,4.52,f,1.0,f,-0.36," "," ",0.562,-4.512,"A ",3.6," ",,HIP 103859,315.6698,45.8848
583,102870,BD+52 2815," ",K7- V," ",,," ",," ",," "," ",1.112,-4.502,"A ",3.6," ",,HIP 102870,312.6378,52.8996
597,105199,HD 203280," ",A8 Vn," ",7773,3.45," ",2.0,f,0.09," ",*,,,"  ",," ",108,HIP 105199,319.6449,62.5856
577,102422,HD 198149," ",K0 IV," ",4940,3.27," ",1.0,f,-0.33," ",K,,,"  ",," ",,HIP 102422,311.3224,61.8388
616,110774," "," ",K5 V," ",,," ",," ",," "," ",0.838,-4.528,"A ",3.6," ",,HIP 110774,336.6362,63.8792
623,112245,HD 215500," ",G8 V," ",5310,4.4," ",1.0,f,-0.34," "," ",0.158,-5.029,"I ",3.6," ",,HIP 112245,341.0243,64.5707
615,109980,BD+67 1424," ",K5- V," ",,," ",," ",," "," ",1.05,-4.543,"A ",3.6," ",,HIP 109980,334.1324,68.3398
660,117712,HD 223778," ",K3 V," ",4715,4.46,f,1.0,f,-0.63," "," ",0.571,-4.518,"A ",3.6," ",,HIP 117712,358.1055,75.5446
536,95995,HD 184467," ",K2 V," ",5019,4.3,f,1.0,f,-0.34," "," ",0.163,-5.047,"I ",3.6," ",,HIP 95995,292.7832,58.586
567,100017,HD 193664,*,G0 V," ",5932,4.55," ",1.0,f,-0.08," "," ",0.167,-4.927,"I ",1.8," ",,HIP 100017,304.3805,66.8537
537,96100,HD 185144," ",G9 V," ",5210,4.58,f,1.0,f,-0.58," "," ",0.189,-4.919,"I ",1.8," ",,HIP 96100,293.09,69.6612
585,103650,BD+70 1157," ",K4 V," ",,," ",," ",," "," ",0.678,-4.653,"A ",3.6," ",,HIP 103650,315.0143,70.6687
579,102616," "," ",K7 V," ",,," ",," ",," "," ",1.433,-4.714,"A ",3.6," ",,HIP 102616,311.9205,70.934
599,105766,HD 204521," ",G0 V Fe-0.8," ",5765,4.3," ",1.0,f,-0.54," "," ",0.166,-4.946,"I ",1.8," ",,HIP 105766,321.32,70.4775
654,116727,HD 222404," ",K1 III," ",4761,3.21," ",1.0,f,0.07," ",K,,,"  ",," ",,HIP 116727,354.8369,77.6323
644,115147,HD 220140," ",K2 V k,*,5085,4.48,f,1.0,f,-0.18," "," ",1.15,-4.074,VA,3.6," ",117,HIP 115147,349.861,79.0035
562,99427,HD 193202," ",K7 V," ",,," ",," ",," "," ",1.107,-4.764,"I ",3.6," ",,HIP 99427,302.7184,77.239
625,112527,HD 216520," ",K0 V," ",,," ",," ",," "," ",0.155,-5.083,"I ",3.6," ",,HIP 112527,341.8828,83.697
9,1532,BD-10 47," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 1532,4.7732,-9.9649
12,1692,HD 1690,*,K2 III," ",,," ",," ",," "," ",,,"  ",," ",,HIP 1692,5.3055,-8.2812
8,1499,HD 1461," ",G3 V," ",5700,4.31," ",1.0,f,0.07," "," ",0.151,-5.059,"I ",1.8," ",,HIP 1499,4.6744,-8.053
647,115445,HD 220339," ",K2.5 V," ",5027,4.59,f,1.0,f,-0.33," "," ",0.213,-4.896,"I ",3.6," ",,HIP 115445,350.7704,-10.7642
61,8497,HD 11171," ",F2 III-IV," ",7087,4.1," ",2.4," ",0.15," "," ",,,"  ",," ",,HIP 8497,27.3963,-10.6864
60,8486,HD 11131," ",G1 V (k)," ",5819,4.53," ",1.0,f,-0.02," "," ",0.298,-4.521,"A ",1.8," ",,HIP 8486,27.3473,-10.7036
30,4845,BD-11 192," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 4845,15.588,-10.4239
25,3909,HD 4813," ",F7 V," ",6250,4.28," ",1.4," ",-0.06," "," ",0.183,-4.78,"I ",1.8," ",,HIP 3909,12.5316,-10.6443
40,5799,HD 7439," ",F5 V," ",6465,3.99," ",1.5," ",-0.22," "," ",0.181,-4.754,"I ",1.8," ",,HIP 5799,18.6002,-7.9228
47,7576,HD 10008," ",G9 V k," ",5272,4.5," ",1.0,f,-0.03," "," ",0.361,-4.53,"A ",3.6," ",,HIP 7576,24.3978,-6.7604
75,11000,HD 14635," ",K4- V," ",,," ",," ",," "," ",0.687,-4.584,"A ",3.6," ",,HIP 11000,35.4351,-6.8795
72,10416,HD 13789," ",K3.5 V," ",,," ",," ",," "," ",0.704,-4.527,"A ",3.6," ",,HIP 10416,33.5565,-3.6352
78,12158,HD 16287," ",K2.5 V (k)," ",4917,4.5,f,1.0,f,-0.12," "," ",0.523,-4.504,"A ",3.6," ",,HIP 12158,39.174,-3.1561
80,12530,HD 16765," ",F7 V," ",6326,4.33," ",1.7," ",-0.15," "," ",0.314,-4.4,"A ",1.8," ",,HIP 12530,40.3083,-0.6957
82,12706,HD 16970," ",A2 Vn," ",8673,3.96," ",2.0,f,0.0," ",*,,,"  ",," ",11,HIP 12706,40.8252,3.2358
49,7646," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 7646,24.6247,0.6516
74,10723,HD 14214," ",G0 IV-," ",5958,3.98," ",1.6," ",0.01," "," ",0.14,-5.114,VI,1.8," ",,HIP 10723,34.506,1.7578
76,11452,HD 15285," ",M1 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 11452,36.9411,4.4322
17,3203,HD 3821," ",G1 V  (k)," ",5785,4.4," ",1.0,f,-0.07," "," ",0.287,-4.525,"A ",1.8," ",,HIP 3203,10.1978,-7.2326
27,3979,HD 4915," ",G6 V," ",5608,4.51," ",1.0,f,-0.24," "," ",0.175,-4.915,"I ",3.6," ",,HIP 3979,12.7952,-5.0393
21,3757," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 3757,12.0556,-5.1355
14,2762,HD 3196," ",F8.5 V,*,6067,4.35," ",1.9," ",-0.13," "," ",0.301,-4.461,"A ",1.8," ",3,HIP 2762,8.812,-3.5928
11,1663,HD 1651,*,kA7hA9mF0 III," ",,," ",," ",," "," ",,,"  ",," ",,HIP 1663,5.2074,-0.8711
20,3535,HD 4256," ",K3 IV-V," ",4801,4.43,f,1.0,f,0.0," "," ",0.192,-5.042,"I ",3.6," ",,HIP 3535,11.2704,1.7855
31,4849,HD 6101," ",K3 V," ",,," ",," ",," "," ",0.458,-4.661,"A ",3.6," ",,HIP 4849,15.6024,5.0614
22,3765,HD 4628," ",K2 V," ",4998,4.66,f,1.0,f,-0.43," "," ",0.159,-5.071,"I ",3.6," ",,HIP 3765,12.0957,5.2806
57,8275,HD 10853," ",K3.5 V," ",4529,4.74,f,1.0,f,-0.74," "," ",0.718,-4.503,"A ",3.6," ",,HIP 8275,26.6613,12.4118
48,7585,HD 9986,*,G2 V,*,5749,4.39," ",1.0,f,-0.03," "," ",0.168,-4.949,"I ",1.8," ",5,HIP 7585,24.4203,12.0784
52,7765,HD 10182,*,K2 III,*,,," ",," ",," "," ",,,"  ",," ",7,HIP 7765,24.9836,15.2594
51,7762,BD+14 253," ",K4.5 V,*,,," ",," ",," "," ",,,"  ",," ",6,HIP 7762,24.9787,15.2567
626,112774,HD 216133," ",M0.5- V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 112774,342.5809,-7.0901
612,109378,HD 210277," ",G8 V," ",5365,4.09," ",1.0,f,0.05," "," ",0.146,-5.11,VI,1.8," ",,HIP 109378,332.3744,-7.5487
619,111170,HD 213429," ",F8 V," ",6001,4.1," ",1.5," ",-0.23," "," ",0.181,-4.827,"I ",1.8," ",,HIP 111170,337.8263,-6.5552
622,112190,HD 215152," ",K3 V," ",4823,4.55,f,1.0,f,-0.17," "," ",0.236,-4.925,"I ",3.6," ",,HIP 112190,340.8388,-6.4008
650,116106,HD 221356," ",F8 V," ",6140,4.37," ",1.3," ",-0.15," "," ",0.158,-4.944,"I ",1.8," ",,HIP 116106,352.8813,-4.0874
