recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
473,81300,HD 149661," ",K0 V,*,5312,4.49,f,1.0,f,0.0," "," ",0.306,-4.63,"A ",3.6," ",93,HIP 81300,249.0894,-2.3246
490,84581,BD-07 4419B,*,A9 III," ",,," ",," ",," "," ",,,"  ",," ",,HIP 84581,259.348,-7.8764
485,83676,HD 154518," ",K3 V," ",,," ",," ",," "," ",0.418,-4.704,"A ",3.6," ",,HIP 83676,256.5342,-6.1672
488,84212," "," ",M1 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 84212,258.2136,-5.1254
492,85042,HD 157347,*,G3 V," ",5633,4.43," ",1.0,f,0.01," "," ",0.152,-5.058,"I ",3.6," ",,HIP 85042,260.7137,-2.3882
493,85295,HD 157881," ",K7 V," ",,," ",," ",," "," ",1.98,-4.573,"A ",3.6," ",,HIP 85295,261.4385,2.1114
497,86400,HD 160346," ",K2.5 V," ",4801,4.57,f,1.0,f,-0.47," "," ",0.218,-4.956,"I ",3.6," ",,HIP 86400,264.8205,3.5552
479,82588,HD 152391," ",G8+ V,*,5290,4.3," ",1.0,f,-0.12," "," ",0.35,-4.502,"A ",1.8," ",94,HIP 82588,253.245,-0.0264
484,83601,HD 154417," ",F9 V,*,5985,4.28," ",1.0,f,-0.01," "," ",0.288,-4.494,"A ",1.8," ",95,HIP 83601,256.3201,0.7026
475,81375,HD 149806," ",K0 V," ",,," ",," ",," "," ",0.173,-4.995,"I ",3.6," ",,HIP 81375,249.2851,0.2543
436,76233,HD 138763," ",F9 IV-V," ",6076,4.63," ",1.6," ",-0.12," "," ",0.333,-4.405,"A ",1.8," ",,HIP 76233,233.5867,-5.6951
453,78395,BD-01 3125," ",K6 V," ",,," ",," ",," "," ",1.296,-4.567,"A ",3.6," ",,HIP 78395,240.0687,-1.7988
450,78024,HD 142661," ",F8.5 V," ",6048,3.93," ",1.4," ",0.07," "," ",0.161,,"I ",1.8," ",,HIP 78024,238.9774,-2.1644
451,78024,BD-01 3118B," ",G8.5 V (k)," ",,," ",," ",," "," ",0.335,,"A ",1.8," ",,HIP 78024,238.9774,-2.1644
420,74537,HD 135204," ",G9 V," ",5391,4.43," ",1.0,f,-0.11," "," ",0.146,-5.107,VI,3.6," ",,HIP 74537,228.4621,-1.3514
423,74702,HD 135599," ",K0 V," ",,," ",," ",," "," ",0.298,-4.663,"A ",3.6," ",,HIP 74702,228.9965,0.7964
426,75266,HD 136834," ",K3 IV-V," ",4803,4.48,f,1.0,f,-0.13," "," ",0.276,-4.871,"I ",3.6," ",,HIP 75266,230.6773,1.4186
445,77408,HD 141272," ",G9 V  (k)," ",5299,4.55," ",1.0,f,-0.17," "," ",0.419,-4.452,"A ",3.6," ",,HIP 77408,237.0394,1.5717
