main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode,j,j_err,j_bibcode
* e Eri,49.981878896666665,-43.069782637500005,HD  20794,GJ   139,HIP  15510,,G6V,1989ApJS...71..245K,165.47,0.19,2007A&A...474..653V,4.27,,2002yCat.2237....0D,3.9814,0.0037,2018yCat.1345....0G,3.25,,2002yCat.2237....0D,3.65,,2002yCat.2237....0D,2.99,,2002yCat.2237....0D
* del Pav,302.18170612375,-66.1820675763889,HD 190248,GJ   780,HIP  99240,,G8IV,2006AJ....132..161G,163.71,0.17,2007A&A...474..653V,3.56,,2002yCat.2237....0D,3.2664,0.0025,2018yCat.1345....0G,2.61,,2002yCat.2237....0D,2.95,,2002yCat.2237....0D,2.45,,2002yCat.2237....0D
HD 191849,303.4724849597812,-45.1640204056435,HD 191849,GJ   784,HIP  99701,,M0V,2006A&A...460..695T,162.3212,0.0495,2018yCat.1345....0G,7.966,,2010MNRAS.403.1949K,7.2352,7.0E-4,2018yCat.1345....0G,6.124,,2010MNRAS.403.1949K,7.053,,2010MNRAS.403.1949K,5.122,0.023,2003yCat.2246....0C
BD-11  3759,218.5700481670775,-12.5195603769259,,GJ   555,HIP  71253,,M3.5V,2015AJ....149..106D,160.1141,0.1135,2018yCat.1345....0G,11.317,,2010MNRAS.403.1949K,9.8788,0.0017,2018yCat.1345....0G,8.473,,2010MNRAS.403.1949K,10.093,,2010MNRAS.403.1949K,6.838,0.019,2003yCat.2246....0C
BD-07  4003,229.8617797234025,-7.722275266326667,,GJ   581,HIP  74995,,M3V,1986AJ.....92..139S,158.7492,0.0523,2018yCat.1345....0G,10.56,0.02,2012yCat.1322....0Z,9.411,0.0012,2018yCat.1345....0G,8.911,0.03,2005yCat.2263....0T,9.461,,2010MNRAS.403.1949K,6.706,0.026,2003yCat.2246....0C
G 202-48,246.35259712137585,54.304101597567495,,GJ   625,HIP  80459,,M1.5V,2015A&A...577A.128A,154.471,0.0273,2018yCat.1345....0G,10.17,0.04,2000A&A...355L..27H,9.137,9.0E-4,2018yCat.1345....0G,8.5,,2003AJ....125..984M,9.664,0.03,2012yCat.1322....0Z,6.608,0.02,2003yCat.2246....0C
L  100-115,145.6930918454209,-68.8850010734061,,GJ  1128,,,M4.0V,2014AJ....148...91L,153.7816,0.0554,2018yCat.1345....0G,12.78,,,11.1329,8.0E-4,2018yCat.1345....0G,9.61,,2008MNRAS.389..585C,11.35,,2008MNRAS.389..585C,7.953,0.024,2003yCat.2246....0C
HD 219134,348.32072825875497,57.16835458916472,HD 219134,GJ   892,HIP 114622,WDS J23133+5710A,K3V,1989ApJS...71..245K,153.0808,0.0895,2018yCat.1345....0G,5.57,0.009,1993A&AS..100..591O,5.2079,0.0016,2018yCat.1345....0G,4.23,,2002yCat.2237....0D,4.76,,2002yCat.2237....0D,3.86,,2002yCat.2237....0D
L  471-42,189.70457636373334,-38.38157547071195,,GJ  3737,,,M4.0V,2006AJ....132.2360H,149.8423,0.0755,2018yCat.1345....0G,12.74,,,11.226,0.0012,2018yCat.1345....0G,,,,12.473,0.08,2012yCat.1322....0Z,8.174,0.024,2003yCat.2246....0C
Ross  104,165.0177373749286,22.8329574036433,,GJ   408,HIP  53767,,M4V,1986AJ.....92..139S,148.1283,0.0569,2018yCat.1345....0G,10.02,,2010MNRAS.403.1949K,8.9698,0.0011,2018yCat.1345....0G,7.646,,2010MNRAS.403.1949K,8.952,,2010MNRAS.403.1949K,6.314,0.023,2003yCat.2246....0C
HD 216899,344.1450197048956,16.5534315908747,HD 216899,GJ   880,HIP 113296,,M1.5Ve,2013AJ....145..102L,145.6107,0.0388,2018yCat.1345....0G,8.638,,2010MNRAS.403.1949K,7.7931,9.0E-4,2018yCat.1345....0G,6.542,,2010MNRAS.403.1949K,7.657,,2010MNRAS.403.1949K,5.36,0.02,2003yCat.2246....0C
Wolf  358,162.7167968336343,6.8081287728825,,GJ   402,HIP  53020,,M4V,1991ApJS...77..417K,143.4971,0.0626,2018yCat.1345....0G,11.675,0.003,1992AJ....104..340L,10.2785,8.0E-4,2018yCat.1345....0G,8.889,0.0021,2009AJ....137.4186L,10.459,0.003,1992AJ....104..340L,7.319,0.023,2003yCat.2246....0C
BD+01  2447,157.2314637543045,0.8410005049271,,GJ   393,HIP  51317,,M2.0Ve,2013AJ....145..102L,142.1885,0.0499,2018yCat.1345....0G,9.65,0.0027,2009AJ....137.4186L,8.6737,8.0E-4,2018yCat.1345....0G,7.389,0.0013,2009AJ....137.4186L,8.617,0.0027,2009AJ....137.4186L,6.176,0.021,2003yCat.2246....0C
HD 156384C,259.74511326836046,-34.99683692619001,HD 156384C,GJ   667 C,,WDS J17190-3459C,M1.5V,2002ApJ...564..466G,138.0171,0.0918,2018yCat.1345....0G,10.22,,1986EgUBV........0M,9.3803,7.0E-4,2018yCat.1345....0G,8.82,0.06,2005yCat.2263....0T,10.05,,2009yCat.1315....0Z,6.848,0.021,2003yCat.2246....0C
L  499-56,330.62239800000003,-37.08093100000001,,GJ  4248,,,M3.0V,2006AJ....132.2360H,134.29,1.31,2006AJ....132.2360H,,,,10.4563,6.0E-4,2018yCat.1345....0G,,,,11.42,0.05,2012yCat.1322....0Z,7.602,0.021,2003yCat.2246....0C
* bet Hyi,6.4377931550222804,-77.25424611998604,HD   2151,GJ    19,HIP   2021,,G0V,2006AJ....132..161G,134.07,0.11,2007A&A...474..653V,2.79,,2002yCat.2237....0D,2.5271,0.0062,2018yCat.1345....0G,1.94,,2002yCat.2237....0D,2.28,,2002yCat.2237....0D,1.72,,2002yCat.2237....0D
