recno,Name,HIP,n_HIP,HD/DM,SpType,n_SpType,Teff,log(g),VTurb,[M/H],Note,Fit,SMW,logR,AC,n_AC,Obs,t5,SimbadName,_RA,_DE
296,HIP  17852,17852," ",24045,G8 V," ",5419,4.56,1.0,-0.07," "," ",0.319,-4.555,"A "," ",SO," ",HIP  17852,57.29843,-17.9715
284,HIP  17265,17265," ",23065,G9- V," ",,,,," "," ",0.15,-5.084,"I "," ",SO," ",HIP  17265,55.46656,-10.69785
173,HIP  10798,10798," ",14412,G8 V," ",5423,4.63,1.0,-0.37," "," ",0.164,-4.997,"I "," ",SO," ",HIP  10798,34.74377,-25.94569
182,HIP  11072,11072," ",14802,G0 V," ",5854,4.06,1.0,-0.08," "," ",0.158,-4.985,"I "," ",SO," ",HIP  11072,35.63561,-23.81633
195,HIP  12110,12110," ",16270,K3.5 V (k)," ",,,,," "," ",0.879,-4.459,"A "," ",SO," ",HIP  12110,39.00323,-23.52132
209,HIP  12837,12837," ",17207,F7 V," ",6246,4.37,1.0,-0.1," "," ",0.26,-4.526,"A "," ",SO," ",HIP  12837,41.25456,-22.16653
210,HIP  12843,12843," ",17206,F6 V," ",6378,4.06,2.0,-0.02," "," ",0.253,-4.524,"A "," ",SO," ",HIP  12843,41.27585,-18.57263
185,HIP  11324,11324," ",15146,F5.5 V Fe-0.6 CH-0.4," ",6248,3.01,2.0,-0.39,*," ",0.233,-4.598,"A "," ",SO," ",HIP  11324,36.43735,-21.31328
184,HIP  11323,11323," "," ",F6 IV," ",,,,," "," ",0.172,-4.801,"I "," ",SO," ",HIP  11323,36.43618,-21.30915
187,HIP  11565,11565," ",15468,K4.5 V k," ",,,,," "," ",0.854,-4.552,"A "," ",SO," ",HIP  11565,37.25718,-19.97918
143,HIP   8768,8768," ",11507,K9 V k," ",,,,," "," ",2.232,-4.61,"A "," ",SO," ",HIP   8768,28.20489,-22.43486
133,HIP   8039,8039," ",10611,K0- V (k)," ",5151,4.49,1.0,0.06," "," ",0.459,-4.457,"A "," ",SO," ",HIP   8039,25.8097,-21.61977
