main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode
G  36-26,39.1838642618576,22.6739443015271,,,,,M5.0V,2015A&A...577A.128A,68.5179,0.0718,2018yCat.1345....0G,,,,13.4692,8.0E-4,2018yCat.1345....0G
L  291-115,8.3062875857342,-47.5545879699394,,,,,M5,2013A&A...556A..15R,68.4662,0.0635,2018yCat.1345....0G,15.763,,,13.8764,3.0E-4,2018yCat.1345....0G
LP  412-31,50.2487947484696,18.9063255669934,,,,,M8V,2011ApJS..197...19K,68.2785,0.1466,2018yCat.1345....0G,18.881,0.101,2005AJ....130..337C,16.1267,0.0025,2018yCat.1345....0G
G 140-51,274.1314174520134,4.8793827262785,,,,,M5V,2014AJ....147...20N,68.1534,0.1085,2018yCat.1345....0G,,,,13.0379,0.0016,2018yCat.1345....0G
WT 84,34.368488886344,-59.3788015307643,,,,,M5.5Ve,2002AJ....123.2002H,68.0804,0.0555,2018yCat.1345....0G,15.674,0.004,2005AJ....130..337C,13.8321,8.0E-4,2018yCat.1345....0G
LP  593-68,57.7501140400627,-0.8791442422206,,GJ  3252,,,M8.0V,2012AJ....144...99D,68.0325,0.1851,2018yCat.1345....0G,18.02,,1995GCTP..C......0V,15.3422,7.0E-4,2018yCat.1345....0G
LP  191-43,2.2298672142476,49.3156445214558,,,,,M5.5V,2005A&A...442..211S,67.7454,0.0779,2018yCat.1345....0G,,,,14.4091,4.0E-4,2018yCat.1345....0G
LP  278-42,267.8981483465778,37.8264659979631,,,,,M5V,2014AJ....147...20N,67.7138,0.0612,2018yCat.1345....0G,,,,14.0917,9.0E-4,2018yCat.1345....0G
G  95-30,50.75733881263,42.0074582056673,,GJ  1059,,,M5V,2014AJ....147...20N,67.699,0.0787,2018yCat.1345....0G,,,,13.6373,4.0E-4,2018yCat.1345....0G
LP  326-21,221.07157141961457,30.037283978235834,,,,,M8.5,2015MNRAS.446.3878M,67.2904,0.1144,2018yCat.1345....0G,,,,15.9275,7.0E-4,2018yCat.1345....0G
LP  374-39,170.7827848,25.893452500000002,,GJ  3657,,,M5.0V,,67.2,3.2,2014ApJ...784..156D,,,,13.5556,0.001,2018yCat.1345....0G
LP  553-59,178.4694791975941,6.9989606036749,,GJ  3693,,,M8V,2011AJ....141...98B,67.1826,0.1485,2018yCat.1345....0G,,,,15.2957,0.001,2018yCat.1345....0G
LP  299-36,48.55195225206458,28.677654850856392,,GJ  3208,,,M6,,66.9947,0.1155,2018yCat.1345....0G,,,,14.6075,8.0E-4,2018yCat.1345....0G
G 251-58,123.4356379928347,79.3031827444125,,,,,M5V,2015ApJ...812....3W,66.8204,0.0792,2018yCat.1345....0G,14.8,,2004AJ....128..463R,13.2193,5.0E-4,2018yCat.1345....0G
G 149-94,202.629430668655,19.1594598238739,,GJ  1171,,,M5V,2014AJ....147...20N,66.7531,0.0813,2018yCat.1345....0G,,,,13.2192,5.0E-4,2018yCat.1345....0G
SIPS J1309-2330,197.341071650881,-23.5099328834597,,,,,M7Ve,2002ApJ...575..484G,66.6683,0.1913,2018yCat.1345....0G,20.3,,,16.1414,0.0017,2018yCat.1345....0G
G 252-33,140.330758555773,73.1107143451188,,GJ  3550,,,M5V,2015ApJ...812....3W,66.3827,0.0559,2018yCat.1345....0G,,,,13.4914,4.0E-4,2018yCat.1345....0G
2MASS J00044144-2058298,1.1727822084074,-20.9749663383048,,,,,M8,2009AJ....137....1F,66.3347,0.1616,2018yCat.1345....0G,,,,16.8694,0.0014,2018yCat.1345....0G
2MASS J16073123-0442091,241.8801587034384,-4.7026741173515,,,,,M8,2008AJ....136.1290R,65.5954,0.2159,2018yCat.1345....0G,,,,16.3684,9.0E-4,2018yCat.1345....0G
LP  719-10,90.7259826693074,-9.251037812435,,,,,M5.5Ve,2003AJ....126.3007R,65.4589,0.0891,2018yCat.1345....0G,,,,14.6234,0.001,2018yCat.1345....0G
G  87-32,109.0750745965045,33.1528967555168,,GJ  1096,,,M5V,2014AJ....147...20N,65.3182,0.0923,2018yCat.1345....0G,,,,12.9431,7.0E-4,2018yCat.1345....0G
CD-29  4446C,112.2132135928731,-30.2646736297776,,GJ  2060 C,,,M5V,2008AJ....135.2024A,65.087,0.0542,2018yCat.1345....0G,,,,12.1745,6.0E-4,2018yCat.1345....0G
LP  699-32,331.5401177048596,-7.3932233991364,,,,,M5.5Ve,2003AJ....126.3007R,64.9508,0.0843,2018yCat.1345....0G,15.89,,,14.2111,7.0E-4,2018yCat.1345....0G
LP  575-35,310.8494454414917,4.7653509638564,,,,,M5V,2014AJ....147...20N,64.8222,0.1224,2018yCat.1345....0G,,,,13.5426,5.0E-4,2018yCat.1345....0G
LTT  3896,159.4388017259786,-27.7773891703905,,,,,M5,2014MNRAS.443.2561G,64.6539,0.0802,2018yCat.1345....0G,,,,11.6882,5.0E-4,2018yCat.1345....0G
2MASS J03442081+0741549,56.0867639139324,7.6985927439808,,,,,M5V,2014AJ....147...20N,64.3825,0.0969,2018yCat.1345....0G,,,,13.3443,3.0E-4,2018yCat.1345....0G
G 195-22,139.4416216725601,58.4226242655579,,GJ  3542,,,M5V,2015ApJ...812....3W,64.1656,0.0575,2018yCat.1345....0G,15.12,,2004AJ....128..463R,13.5214,6.0E-4,2018yCat.1345....0G
2MASS J07140394+3702459,108.5164257067748,37.0461180718121,,,,,M8,2007AJ....133.2258S,64.0412,0.3053,2018yCat.1345....0G,,,,16.3802,0.0016,2018yCat.1345....0G
2MUCD 20388,162.829136093213,56.2190759662768,,,,,M7.9V,2014ApJ...794..143B,63.9956,0.1886,2018yCat.1345....0G,,,,18.0773,0.0024,2018yCat.1345....0G
USNO-A2.0 0975-01864840,85.2245809920934,8.9050701537346,,,,,M6V,2014AJ....147...20N,63.8316,0.0683,2018yCat.1345....0G,,,,13.8311,6.0E-4,2018yCat.1345....0G
LHS  3154,241.64081102835544,40.90612047003139,,,,,M6Ve,2003AJ....126.3007R,63.4206,0.072,2018yCat.1345....0G,,,,14.8561,6.0E-4,2018yCat.1345....0G
CD-44 14334,317.9565328917869,-43.6136530161911,,GJ  9724,HIP 104644,,M6V,1974PhDT........10S,63.3389,0.0521,2018yCat.1345....0G,11.998,,2010MNRAS.403.1949K,11.0085,7.0E-4,2018yCat.1345....0G
LP  440-38,218.0450229833326,16.0136995487232,,GJ  3856,,,M5V,2014AJ....147...20N,63.2741,0.0615,2018yCat.1345....0G,,,,12.258,0.0014,2018yCat.1345....0G
1RXS J194213.0-204547,295.5534196190253,-20.763326274627,,,,,M5.1V,2009ApJ...699..649S,63.1119,0.0892,2018yCat.1345....0G,14.33,0.05,2014AJ....147...85R,12.7252,8.0E-4,2018yCat.1345....0G
V* DG Phe,17.2563411900628,-51.013723516253,,,,,M8.5e,2005A&A...440.1061L,62.8527,0.113,2018yCat.1345....0G,18.8,,,16.6719,0.0011,2018yCat.1345....0G
2MASS J01092170+2949255,17.341140341042085,29.82401082137333,,,,,M9.5,2008AJ....136.1290R,62.7825,0.2442,2018yCat.1345....0G,,,,17.5955,0.0023,2018yCat.1345....0G
LSR J0515+5911,78.87898119493958,59.18817377314444,,,,,M7.0V,2003AJ....125.1598L,62.6891,0.3262,2018yCat.1345....0G,18.11,,2009AJ....137.4109L,15.316,7.0E-4,2018yCat.1345....0G
