recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
1771,"HD 132756 ",73449,0.7,0.163,2.248,-4.994,0.77,31,6.49,L,HD 132756,225.14582,8.60016
1813,"HD 137184 ",75394,0.764,0.214,4.503,-4.811,4.38,30,3.36,L,HD 137184,231.08268,8.48155
1831,"HD 139457 ",76543,0.56,0.15,2.624,-5.033,0.54,,7.22,K,HD 139457,234.49672,10.23988
1825,"HD 138573 ",76114,0.64,0.159,2.76,-4.992,0.0,24,6.46,L,HD 138573,233.18189,10.9683
1812,"HD 136925 ",75281,0.8,0.156,2.226,-5.054,1.0,,7.62,K,HD 136925,230.71695,13.36643
1749,"HD 130726 ",72527,0.71,0.221,4.517,-4.755,4.53,24,2.61,L,HD 130726,222.42571,7.98675
1744,"HD 130087 ",72190,0.58,0.158,2.757,-4.98,0.55,17,6.24,K,HD 130087,221.48661,10.052
1793,"HD 135724 ",74713,0.62,0.182,3.151,-4.861,0.85,19,4.13,K,HD 135724,229.03489,15.5413
1757,"HD 131473 ",72846,0.569,0.189,3.292,-4.807,1.3,12,3.31,L,HD 131473,223.34729,15.70516
1773,"HD 133161 ",73593,0.59,0.172,2.998,-4.898,0.13,16,4.74,L,HD 133161,225.63772,16.05496
1770,"HD 132505 ",73321,0.61,0.148,2.565,-5.065,0.71,,7.82,K,HD 132505,224.74249,17.32697
1857,"HD 142267 ",77801,0.6,0.17,2.95,-4.916,-0.3,18,5.06,K,HD 142267,238.30041,13.19662
1821,"HD 137985 ",75776,0.724,0.147,4.231,-5.096,1.62,,8.38,K,HD 137985,232.1953,15.88575
1811,"HD 136923 ",75277,0.76,0.254,2.704,-4.697,-0.1,25,1.96,L,HD 136923,230.69514,18.91896
1815,"HD 137510 ",75535,0.599,0.165,2.876,-4.94,1.3,18,5.49,L,HD 137510,231.47195,19.48071
1787,HD 135101A,74432,0.68,0.15,2.598,-5.067,0.57,,7.85,K,HD 135101A,228.18118,19.28604
1783,"HD 134353 ",74118,0.852,0.244,2.638,-4.792,0.53,34,3.1,K,HD 134353,227.21655,19.03863
1772,"HD 133125 ",73577,0.724,0.176,2.318,-4.934,0.23,33,5.38,K,HD 133125,225.57969,19.39059
1869,"HD 144287 ",78709,0.771,0.16,2.245,-5.027,0.07,,7.12,K,HD 144287,241.01547,25.25484
1850,"HD 141714 ",77512,0.794,0.283,4.781,-4.659,4.57,24,1.6,L,HD 141714,237.39853,26.06839
1841,"HD 140913 ",77152,0.572,0.297,5.168,-4.477,-0.3,5,0.52,K,HD 140913,236.28104,28.46993
1715,"HD 126583 ",70557,0.75,0.178,2.33,-4.937,0.0,35,5.44,K,HD 126583,216.49273,13.43327
1674,"HD 121560 ",68030,0.56,0.169,2.96,-4.903,0.0,13,4.83,L,HD 121560,208.95831,14.0565
1760,"HD 131511 ",72848,0.83,0.5,3.904,-4.392,0.13,10,0.28,L,HD 131511,223.34903,19.1528
