main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
G 273-147,357.6318448934459,-9.5590710391962,,GJ  4367,,,M3.67,2015ApJ...802L..10T,58.9687,0.1169,2018yCat.1345....0G,,,,12.007,7.0E-4,2018yCat.1345....0G,,,,13.16,0.12,2012yCat.1322....0Z
LP  444-35,243.6359287682513,19.1030201402775,,GJ  1200,,,M3.5V,1997AJ....113..806G,58.9533,0.1137,2018yCat.1345....0G,12.93,,,11.7319,0.0013,2018yCat.1345....0G,10.2,,2003AJ....125..984M,12.1,,2003AJ....125..984M
BD-13  5069,280.2387824751417,-13.3796097223624,,GJ   724,HIP  91608,,M1,2014MNRAS.443.2561G,58.9132,0.0483,2018yCat.1345....0G,10.63,,2010MNRAS.403.1949K,9.7691,4.0E-4,2018yCat.1345....0G,8.562,,2010MNRAS.403.1949K,9.655,,2010MNRAS.403.1949K
LP  725-15,127.8477397516032,-10.4982533443298,,GJ  3503,,,M4,,58.9089,0.0608,2018yCat.1345....0G,15.0,,,13.377,8.0E-4,2018yCat.1345....0G,,,,,,
LP  275-68,248.8642923482703,35.0160085886922,,GJ  3966,,,M4.0V,2013AJ....145..102L,58.8819,0.1148,2018yCat.1345....0G,12.951,0.01,2012yCat.1322....0Z,11.5983,6.0E-4,2018yCat.1345....0G,9.8,,2003AJ....125..984M,12.617,0.05,2012yCat.1322....0Z
UCAC4 347-066233,202.670623398356,-20.6510410464199,,,,,M4,2014MNRAS.443.2561G,58.874,0.1411,2018yCat.1345....0G,12.432,0.03,2012yCat.1322....0Z,11.1725,9.0E-4,2018yCat.1345....0G,,,,12.143,0.08,2012yCat.1322....0Z
Ross  992,213.8207499103924,45.0148001380352,,GJ  3836,,,M3V,1995AJ....110.1838R,58.8719,0.0373,2018yCat.1345....0G,11.848,0.02,2012yCat.1322....0Z,10.7244,5.0E-4,2018yCat.1345....0G,10.8,,2003AJ....125..984M,11.499,0.07,2012yCat.1322....0Z
L   46-163,312.9232559729143,-79.3111064303786,,GJ   808,,,M2.5V,1983SAAOC...7..106W,58.802,0.0295,2018yCat.1345....0G,11.87,,1995GCTP..C......0V,10.904,5.0E-4,2018yCat.1345....0G,9.64,,2011AJ....141..117J,10.82,,2011AJ....141..117J
UCAC4 434-042012,117.4255982098744,-3.3427647516867,,,,,M3.5V,2015A&A...577A.128A,58.7811,0.1757,2018yCat.1345....0G,13.147,0.03,2012yCat.1322....0Z,11.8088,5.0E-4,2018yCat.1345....0G,,,,12.798,0.11,2012yCat.1322....0Z
L  750-79,145.6486385519247,-19.2347604706211,,GJ  3563,HIP  47619,,M2.5V,2006AJ....132..161G,58.6635,0.0609,2018yCat.1345....0G,11.953,,2010MNRAS.403.1949K,10.899,0.0014,2018yCat.1345....0G,9.599,,2010MNRAS.403.1949K,10.902,,2010MNRAS.403.1949K
LP  994-96,49.6895061070894,-40.859490721994,,,,,M3e,2014MNRAS.443.2561G,58.6533,0.0339,2018yCat.1345....0G,12.073,0.01,2012yCat.1322....0Z,10.9572,8.0E-4,2018yCat.1345....0G,,,,11.71,0.04,2012yCat.1322....0Z
2MASS J11361611+5624017,174.0671850955171,56.4004266539232,,,,,M4.0,2007AJ....133.2825R,58.6121,0.0554,2018yCat.1345....0G,15.002,,,13.3949,4.0E-4,2018yCat.1345....0G,11.4,,2003AJ....125..984M,13.7,,2003AJ....125..984M
G 173-39,32.223434215042,49.449011327661,,GJ  3136,,,M4.0V,2013AJ....145..102L,58.5983,0.0783,2018yCat.1345....0G,12.451,0.06,2012yCat.1322....0Z,11.265,0.0016,2018yCat.1345....0G,9.6,,2003AJ....125..984M,12.118,0.06,2012yCat.1322....0Z
G 155-42,282.0052876274804,-14.5808893631867,,GJ  4077,,,M2.5,2004AJ....128..463R,58.5351,0.0574,2018yCat.1345....0G,12.13,,2004AJ....128..463R,11.0134,0.0012,2018yCat.1345....0G,,,,11.738,0.05,2012yCat.1322....0Z
Ross 1026,205.0366310993362,43.7772062757926,,GJ  1174,,,M3.5Ve,2013AJ....145..102L,58.5132,0.1752,2018yCat.1345....0G,12.75,,1976PUSNO..24c...1D,11.4546,0.0019,2018yCat.1345....0G,10.08,,2002AJ....123.2806R,11.59,,2002AJ....123.2806R
LP  771-77,46.018723674834,-20.3785788061199,,GJ  3198,,,M4,2014MNRAS.443.2561G,58.5094,0.076,2018yCat.1345....0G,12.888,0.04,2012yCat.1322....0Z,11.534,0.0012,2018yCat.1345....0G,,,,12.527,0.06,2012yCat.1322....0Z
