recno,HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,_RA,_DE
2383,79992,14947,508,3.99,0.14,32,0,26,31,48,18,78,68,4,89,95,88,4.01,4.0,3.97,3.8,4.1,68,3.7,4.3,95,4.45,244.93515,46.31336
2352,79101,11914,405,4.01,0.14,11,0,192,205,202,184,222,68,141,237,95,204,3.29,3.27,3.21,3.0,3.5,68,2.8,3.8,95,3.18,242.19241,44.93491
2228,75411,7193,245,3.93,0.14,,,615,780,1172,450,1631,68,92,1995,95,1378,1.46,1.46,1.46,1.4,1.5,68,1.3,1.6,95,1.69,231.12262,37.37715
2236,75752,6839,233,4.21,0.14,,,1298,1559,1703,1090,2512,68,266,3548,95,1389,1.38,1.38,1.35,1.3,1.5,68,1.2,1.6,95,1.38,232.13036,38.72374
2220,75093,6844,233,3.9,0.14,,,1179,1455,1655,944,2512,68,200,3548,95,1674,1.37,1.37,1.35,1.3,1.5,68,1.2,1.6,95,1.62,230.17367,44.43438
2357,79292,6308,214,4.06,0.14,,,3244,3419,3117,2383,5412,68,1367,7638,95,3544,1.22,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.27,242.73814,49.06365
2264,76568,6921,235,4.26,0.14,,,1587,1649,1608,1334,2054,68,818,2818,95,849,1.51,1.5,1.44,1.4,1.6,68,1.3,1.8,95,1.4,234.5676,46.79775
2327,78286,7375,251,4.13,0.14,,,1078,1189,1206,1004,1489,68,473,1884,95,1135,1.62,1.61,1.55,1.5,1.7,68,1.4,1.9,95,1.58,239.76832,49.88104
2409,80953,8603,293,3.91,0.14,,,383,480,622,338,773,68,84,866,95,690,1.87,1.86,1.83,1.8,1.9,68,1.7,2.1,95,2.15,247.94678,45.59828
2448,81959,7358,250,4.02,0.14,,,990,1151,1206,917,1585,68,299,1995,95,1275,1.58,1.56,1.52,1.4,1.7,68,1.4,1.8,95,1.66,251.14395,49.86295
2546,85179,6527,222,3.83,0.14,,,1728,2074,2337,1189,4467,68,290,6879,95,1983,1.23,1.23,1.21,1.1,1.3,68,1.0,1.4,95,1.58,261.10855,50.42513
2622,87744,7282,248,3.94,0.14,,,1165,1267,1277,1053,1605,68,516,2113,95,1317,1.6,1.58,1.52,1.4,1.7,68,1.4,1.9,95,1.71,268.84856,55.97139
2442,81840,8978,305,4.05,0.14,68,0,389,473,554,362,669,68,112,750,95,577,2.02,2.0,1.97,1.9,2.1,68,1.8,2.3,95,2.12,250.74358,55.69012
2450,82020,6778,230,4.19,0.14,,,1163,1389,1655,668,3350,68,158,6131,95,1621,1.28,1.28,1.27,1.2,1.4,68,1.1,1.5,95,1.37,251.32423,56.78185
2523,84300,6348,216,4.08,0.14,,,1649,2113,2859,1052,5742,68,211,7499,95,2927,1.13,1.12,1.1,1.0,1.2,68,1.0,1.3,95,1.31,258.52846,56.13379
2548,85290,10989,374,3.96,0.14,276,0,90,112,170,64,260,68,16,299,95,281,2.54,2.53,2.5,2.4,2.6,68,2.3,2.8,95,2.91,261.42231,60.0484
2635,88071,6659,226,4.2,0.14,,,1494,1789,2024,1030,3332,68,266,5623,95,1832,1.29,1.29,1.3,1.2,1.4,68,1.1,1.5,95,1.33,269.80722,64.14256
1959,66290,6342,216,4.24,0.14,,,3207,3212,2778,2244,4932,68,1593,6649,95,3034,1.28,1.27,1.21,1.1,1.4,68,1.1,1.6,95,1.2,203.79757,22.49973
1922,65466,8909,303,4.01,0.14,52,0,359,442,539,310,713,68,84,841,95,608,1.96,1.95,1.91,1.8,2.1,68,1.7,2.2,95,2.14,201.27783,23.85442
1918,65268,6434,219,4.4,0.14,,,2202,2615,2943,1589,6103,68,387,7943,95,61,1.19,1.18,1.13,1.1,1.3,68,1.0,1.4,95,1.23,200.64229,26.1157
2016,68478,7997,272,3.93,0.14,,,328,422,640,244,917,68,53,1059,95,914,1.67,1.67,1.63,1.6,1.7,68,1.5,1.8,95,1.94,210.29367,27.3866
2004,67782,8051,274,4.1,0.14,,,783,846,854,741,1013,68,434,1189,95,841,1.85,1.83,1.77,1.7,1.9,68,1.6,2.1,95,1.8,208.29284,28.64813
1997,67596,8991,306,4.2,0.14,119,0,256,318,466,200,631,68,46,729,95,428,1.95,1.94,1.91,1.8,2.0,68,1.7,2.2,95,1.99,207.76889,34.77251
1866,63933,9179,312,4.19,0.14,83,0,297,369,494,261,596,68,65,649,95,397,2.04,2.03,2.0,1.9,2.1,68,1.8,2.3,95,2.05,196.5427,29.02923
1875,64172,6553,223,4.27,0.14,,,1923,2371,2778,1299,6123,68,290,7943,95,1679,1.2,1.19,1.13,1.0,1.3,68,1.0,1.4,95,1.27,197.27706,30.24374
1846,63320,7821,266,4.35,0.14,,,693,844,931,658,1169,68,194,1334,95,21,1.7,1.68,1.63,1.6,1.8,68,1.5,1.9,95,1.61,194.64094,28.31957
1829,62706,6665,227,4.33,0.14,,,1859,2031,2024,1413,3067,68,546,5464,95,506,1.34,1.34,1.32,1.2,1.4,68,1.1,1.6,95,1.31,192.74821,31.47612
1971,66712,6073,206,4.21,0.14,,,3483,4054,5543,2816,7010,68,1223,8913,95,5800,1.13,1.11,1.07,1.0,1.2,68,1.0,1.3,95,1.09,205.1236,32.83588
1965,66458,7609,259,3.85,0.14,,,659,866,1014,589,1306,68,137,1496,95,1054,1.61,1.6,1.58,1.5,1.7,68,1.5,1.8,95,1.9,204.36512,36.2949
