recno,Star,Teff,e_Teff,logg,e_logg,Vt,e_Vt,[Fe/H],e_[Fe/H],Mass,e_Mass,Age,e_Age,_RA,_DE
254,"HD 123265 ",5311,47,4.31,0.1,0.83,0.08,0.18,0.03,0.906,0.027,5.537,4.309,211.672,-5.51834
255,"HD 124106 ",5067,45,4.48,0.09,0.61,0.1,-0.17,0.02,0.781,0.019,4.646,4.109,212.94238,-12.61176
256,"HD 124292 ",5426,18,4.37,0.03,0.76,0.03,-0.14,0.01,0.835,0.013,10.184,2.358,213.1885,-3.32008
257,"HD 124364 ",5601,15,4.49,0.05,0.85,0.03,-0.27,0.01,0.887,0.02,1.588,1.734,213.60343,-48.14664
258,"HD 125072 ",4794,102,4.27,0.24,0.53,0.41,0.24,0.08,0.806,0.017,4.539,4.141,214.77015,-59.37904
259,"HD 125184 ",5660,45,4.11,0.08,1.06,0.05,0.27,0.04,1.055,0.012,7.977,0.485,214.50303,-7.54239
260,"HD 125455 ",5095,29,4.4,0.07,0.56,0.07,-0.21,0.02,0.776,0.016,6.725,4.165,214.89526,-5.15119
261,"HD 125881 ",6046,18,4.49,0.04,1.09,0.03,0.07,0.01,1.128,0.012,0.383,0.275,216.19157,-63.70657
262,"HD 126525 ",5645,11,4.4,0.05,0.92,0.02,-0.09,0.01,0.922,0.027,5.074,4.137,216.88738,-51.93309
263,"HD 128674 ",5571,19,4.5,0.1,0.8,0.04,-0.37,0.01,0.807,0.015,9.331,2.53,220.11776,-57.02956
264,"HD 129642 ",4919,65,4.35,0.16,0.53,0.19,-0.09,0.03,0.785,0.019,5.427,4.291,221.29059,-49.91628
265,"HD 130322 ",5341,33,4.4,0.05,0.81,0.05,-0.03,0.02,0.872,0.025,3.826,3.603,221.88635,-0.28148
266,"HD 130930 ",4963,67,4.39,0.17,0.44,0.18,-0.01,0.03,0.802,0.021,4.716,4.113,223.0739,-43.8182
267,"HD 130992 ",4712,108,4.37,0.25,0.31,0.45,-0.13,0.05,0.733,0.017,4.32,4.216,222.9186,-24.30413
268,"HD 132648 ",5419,17,4.49,0.02,0.76,0.04,-0.38,0.01,0.785,0.018,7.308,4.117,225.47195,-47.00747
269,"HD 134060 ",5940,18,4.42,0.03,1.07,0.03,0.12,0.01,1.107,0.015,1.006,0.713,227.68643,-61.42232
270,"HD 134606 ",5614,34,4.3,0.08,0.94,0.05,0.27,0.03,0.998,0.024,4.349,2.399,228.81269,-70.51962
271,"HD 134664 ",5823,13,4.46,0.04,0.99,0.02,0.07,0.01,1.044,0.016,1.874,1.45,228.04315,-30.88629
272,"HD 134985 ",5096,41,4.44,0.08,0.09,0.32,-0.61,0.02,0.709,0.012,4.739,4.05,228.19844,-1.16611
273,"HD 134987 ",5700,28,4.22,0.06,1.04,0.04,0.23,0.02,1.021,0.013,6.83,0.785,228.36945,-25.30935
275,"HD 136713 ",4911,85,4.32,0.21,0.69,0.2,0.08,0.05,0.802,0.019,4.392,4.001,230.65289,-10.66112
276,"HD 136894 ",5402,14,4.37,0.04,0.75,0.03,-0.11,0.01,0.838,0.008,11.049,0.875,231.01012,-27.30522
277,"HD 137303 ",4632,79,4.38,0.18,0.17,0.66,-0.35,0.07,0.701,0.003,4.547,4.036,231.49376,-26.70578
278,"HD 137388 ",5144,57,4.35,0.14,0.71,0.11,0.19,0.03,0.869,0.024,4.201,3.905,233.91638,-80.20459
279,"HD 138549 ",5552,16,4.4,0.05,0.84,0.03,-0.01,0.01,0.944,0.021,2.061,1.834,233.47316,-31.01905
280,"HD 140901 ",5584,18,4.4,0.04,0.86,0.03,0.08,0.01,0.981,0.012,0.982,0.897,236.87126,-37.91632
281,"HD 141937 ",5892,17,4.46,0.07,0.97,0.02,0.13,0.01,1.094,0.013,0.356,0.242,238.07311,-18.43607
282,"HD 142709 ",4536,118,4.21,0.33,0.35,0.54,-0.31,0.06,0.7,0.0,4.462,4.048,239.41977,-42.62423
283,"HD 143114 ",5811,17,4.46,0.05,1.1,0.04,-0.41,0.01,0.842,0.001,11.581,0.272,239.90945,-29.63256
284,"HD 143295 ",4940,62,4.4,0.12,0.64,0.14,-0.01,0.03,0.776,0.018,3.855,3.783,239.92622,-5.07625
285,"HD 144411 ",4839,72,4.45,0.14,0.23,0.38,-0.32,0.02,0.705,0.009,4.332,4.042,241.54727,-10.9907
286,"HD 144497 ",4953,67,4.52,0.14,0.61,0.19,-0.11,0.03,0.772,0.019,4.468,4.02,241.74909,-22.97723
287,"HD 144585 ",5880,17,4.32,0.05,1.1,0.02,0.32,0.01,1.098,0.013,4.099,0.403,241.76404,-14.0713
288,"HD 144628 ",5022,26,4.43,0.08,0.43,0.09,-0.45,0.02,0.718,0.015,6.094,4.159,242.42831,-56.44515
289,"HD 145598 ",5465,25,4.59,0.03,0.63,0.08,-0.75,0.02,0.734,0.017,6.039,4.322,243.54138,-50.78487
290,"HD 145666 ",5984,14,4.56,0.03,1.02,0.02,-0.02,0.01,1.087,0.014,0.539,0.423,243.76733,-56.37454
291,"HD 145809 ",5778,15,4.15,0.03,1.18,0.03,-0.25,0.01,0.956,0.012,11.082,0.364,243.4181,-21.39996
292,"HD 146233 ",5810,12,4.46,0.04,0.99,0.02,0.05,0.01,1.053,0.011,0.289,0.174,243.90529,-8.36944
293,"HD 147512 ",5515,12,4.4,0.02,0.82,0.02,-0.09,0.01,0.868,0.015,9.356,2.742,245.63634,-4.24925
294,"HD 147513 ",5907,107,4.58,0.16,1.39,0.16,0.12,0.08,0.997,0.036,2.215,2.149,246.00537,-39.19298
295,"HD 148303 ",4829,84,4.44,0.22,0.55,0.26,-0.03,0.03,0.773,0.018,4.654,4.076,247.08865,-31.13082
296,"HD 150433 ",5680,15,4.48,0.05,0.93,0.03,-0.36,0.01,0.823,0.003,11.541,0.312,250.28423,-2.85728
297,"HD 151504 ",5431,28,4.35,0.04,0.79,0.05,0.06,0.02,0.901,0.024,6.618,4.339,252.13433,-19.28777
298,"HD 153851 ",5015,39,4.43,0.08,0.81,0.09,-0.28,0.02,0.748,0.017,4.685,4.102,255.59509,-11.89345
299,"HD 154088 ",5337,51,4.35,0.11,0.79,0.08,0.26,0.04,0.92,0.028,4.153,3.677,256.11601,-28.58268
300,"HD 154363 ",4581,196,4.17,0.45,0.14,1.17,-0.62,0.12,,,4.412,4.041,256.26414,-5.06651
301,"HD 154577 ",4847,35,4.48,0.07,0.31,0.19,-0.73,0.01,,,6.115,4.118,257.54313,-60.72877
302,"HD 154962 ",5778,22,4.12,0.08,1.16,0.02,0.3,0.02,1.122,0.022,6.062,0.533,257.22716,-3.88299
303,"HD 157172 ",5419,28,4.32,0.04,0.75,0.04,0.09,0.02,0.921,0.025,3.218,2.974,260.64402,-19.61618
304,"HD 157338 ",6037,12,4.49,0.03,1.2,0.02,-0.07,0.01,1.082,0.017,1.231,1.029,261.03643,-34.79845
305,"HD 157347 ",5667,11,4.38,0.04,0.92,0.02,0.01,0.01,0.951,0.011,6.14,0.863,260.7137,-2.38817
306,"HD 157830 ",5549,16,4.5,0.03,0.8,0.03,-0.24,0.01,0.871,0.025,2.985,3.039,261.84148,-38.06145
